Branch,item,Description,Order Quantity,Plant Category,Zone,Common Name,Intro Year,Price Code,Retail Price,Minimum Ord Qty,Confirmed Qty Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Condition,Current Specs,Plant Status
GA,037511,ECHINACEA GREEN EYES PP17172, ,PRN,04,Green Eyes Coneflower                                                                               ,2006,PRNADV, 14.99 , 10 , 12 ,     ,     ,     ,,,PS0
GA,054971,ECHINACEA HOT LAVA PPAF, ,PRN,04,Hot Lava Coneflower                                                                                 ,2015,PRNADV, 14.99 , 10 , 10 ,     ,     ,     ,,,PS0
OR,004891,ECHINACEA KIMS KNEE HI PP12242, ,PRN,04,Kim's Knee High Purple Coneflower                                                                   ,    ,PRNADV, 11.99 , 10 , 12 ,     ,     ,     ,-,,PS0
CT,003121,ECHINACEA POWWOW R WHITE, ,PRN,03,PowWow®  White Coneflower                                                                           ,2012,PRNADV, 11.99 , 10 , 12 ,     ,     ,     ,,,PS0
GA,00299UT,ECHINACEA POWWOW R WILDBERRY, ,PRN,03,PowWow®  Wild Berry Coneflower                                                                      ,2011,, 5.99 , 16 , 32 ,     ,     ,     ,,,PS0
OR,002991,ECHINACEA POWWOW R WILDBERRY, ,PRN,03,PowWow®  Wild Berry Coneflower                                                                      ,2011,PRNADV, 11.99 , 10 , 12 ,     ,     ,     ,CUT BACK,.,PS0
GA,059741,ECHINACEA PUR HOT PAPAYA PPAF, ,PRN,04,Hot Papaya Coneflower                                                                               ,2010,PRNADV, 14.99 , 10 , 24 ,     ,     ,     ,,,PS0
OR,017341,WISTERIA MAC BLUE MOON, ,VIN,04,Blue Moon Kentucky Wisteria                                                                         ,2007,, 19.99 , 10 , 10 ,     ,     ,     ,BREAKING DORMANCY,FULL STK,
CA,017345,WISTERIA MAC BLUE MOON, ,VIN,04,Blue Moon Kentucky Wisteria                                                                         ,2007,, 49.99 , 5 , 5 ,     ,     ,     ,DORMANT,"48""H",
OR,090151,YUCCA FIL COLOR GUARD, ,EVS,04,Color Guard Adam's Needle                                                                           ,2012,, 14.99 , 10 , 10 ,     ,     ,     ,-,8''H - 10''S,
,,Totals:,,,,,,,,," 7,504 ",,,,,,
