Code,Item Description
046275,CLEM VANCOUVER TM FRGRNT STAR
048741,CLEM VANCOUVER TM STARRY NGHTS
048741S,CLEM VANCOUVER TM STARRY NGHTS
048742,CLEM VANCOUVER TM STARRY NGHTS
048745,CLEM VANCOUVER TM STARRY NGHTS
038081,CLEM VIT BETTY CORNING
027111S,CLEM VIT BLUE ANGEL
027211,CLEM VIT ETOILE VIOLETTE
027211S,CLEM VIT ETOILE VIOLETTE
027212,CLEM VIT ETOILE VIOLETTE
027215,CLEM VIT ETOILE VIOLETTE
027301,CLEM VIT MADAME JULIA CORREVON
027301S,CLEM VIT MADAME JULIA CORREVON
027302,CLEM VIT MADAME JULIA CORREVON
027305,CLEM VIT MADAME JULIA CORREVON
046285,CLEM X 01-04-13
021781,CLEM X ARABELLA
021782,CLEM X ARABELLA
015901,CLEM X BLUE LIGHT R PP15953
015901S,CLEM X BLUE LIGHT R PP15953
015905,CLEM X BLUE LIGHT R PP15953
027191,CLEM X BLUE RAVINE
027191S,CLEM X BLUE RAVINE
027195,CLEM X BLUE RAVINE
090612,CLEM X CART AVALANCHE
090615,CLEM X CART AVALANCHE
044242,CLEM X CEZANNE TM PP15166
027221,CLEM X COMTESSE DE BOUCHAUD
027221S,CLEM X COMTESSE DE BOUCHAUD
027225,CLEM X COMTESSE DE BOUCHAUD
027011,CLEM X ERNEST MARKHAM
027011S,CLEM X ERNEST MARKHAM
027015,CLEM X ERNEST MARKHAM
027021,CLEM X GIPSY QUEEN
027021S,CLEM X GIPSY QUEEN
027171,CLEM X HAGLEY HYBRID
027175,CLEM X HAGLEY HYBRID
033492,CLEM X HANIA
027411,CLEM X HENRYI
027261,CLEM X JACKMANII
027261S,CLEM X JACKMANII
027262,CLEM X JACKMANII
027265,CLEM X JACKMANII
044481,CLEM X JACKMANII SUPERBA
044481S,CLEM X JACKMANII SUPERBA
044482,CLEM X JACKMANII SUPERBA
044485,CLEM X JACKMANII SUPERBA
033511,CLEM X JULKA
033512,CLEM X JULKA
034431,CLEM X KILIAN DONAHUE
034432,CLEM X KILIAN DONAHUE
055201,CLEM X MRS. SPENCER CASTLE
055205,CLEM X MRS. SPENCER CASTLE
027061,CLEM X MULTI-BLUE
027061S,CLEM X MULTI-BLUE
027065,CLEM X MULTI-BLUE
027441,CLEM X NELLY MOSER
027441S,CLEM X NELLY MOSER
027442,CLEM X NELLY MOSER
027445,CLEM X NELLY MOSER
027461,CLEM X NIOBE
027461S,CLEM X NIOBE
027462,CLEM X NIOBE
027465,CLEM X NIOBE
044282,CLEM X PARISIENNE TM PP16069
027071,CLEM X PINK CHAMPAGNE
027071S,CLEM X PINK CHAMPAGNE
027072,CLEM X PINK CHAMPAGNE
027075,CLEM X PINK CHAMPAGNE
027481,CLEM X RAMONA
027481S,CLEM X RAMONA
027482,CLEM X RAMONA
027485,CLEM X RAMONA
027491,CLEM X ROUGE CARDINAL
027491S,CLEM X ROUGE CARDINAL
027492,CLEM X ROUGE CARDINAL
027495,CLEM X ROUGE CARDINAL
027321S,CLEM X THE PRESIDENT
027325,CLEM X THE PRESIDENT
026371,CLEM X TOKI
026372,CLEM X TOKI
026375,CLEM X TOKI
056212,CLEM X WESTERPLATTE
056215,CLEM X WESTERPLATTE
022431,CLEMATIS INT BLUE RIBBONS
052105,CLEMATIS UNCINATA (7019)
027515,CLERODENDRUM UGANDENSE
027515PT,CLERODENDRUM UGANDENSE
074462S,CLETHRA AL SUGARTINA TM P21561
074465,CLETHRA AL SUGARTINA TM P21561
027521,CLETHRA ALN HUMMINGBIRD
027522,CLETHRA ALN HUMMINGBIRD
027525,CLETHRA ALN HUMMINGBIRD
027531,CLETHRA ALN RUBY SPICE
027532,CLETHRA ALN RUBY SPICE
027535,CLETHRA ALN RUBY SPICE
020091,CLETHRA ALN SIXTEEN CANDLES
020092,CLETHRA ALN SIXTEEN CANDLES
074471S,CLETHRA ALN VNLA SPICE TM PPAF
074472S,CLETHRA ALN VNLA SPICE TM PPAF
074475,CLETHRA ALN VNLA SPICE TM PPAF
081531,CLETHRA ALNIFOLIA
081532,CLETHRA ALNIFOLIA
055531,CLETHRA BARBINERVIS VARIEGATA
055532,CLETHRA BARBINERVIS VARIEGATA
055535,CLETHRA BARBINERVIS VARIEGATA
030441,CLIVIA BELGIAN HYB ORANGE
030442,CLIVIA BELGIAN HYB ORANGE
030445,CLIVIA BELGIAN HYB ORANGE
028841,CLIVIA BELGIUM HYB YELLOW
028842,CLIVIA BELGIUM HYB YELLOW
027605,CLIVIA MIN FLAME R
027655,CLIVIA MIN FRENCH HYBRID
012551,CLYTOSTOMA CALLISTEGIOIDES
012555,CLYTOSTOMA CALLISTEGIOIDES
037241,COLEONEMA PUL SUNSET GOLD
024172,COLOCASIA ANT ILLUSTRIS
024175,COLOCASIA ANT ILLUSTRIS
024201,COLOCASIA ESC BLACK MAGIC
024202,COLOCASIA ESC BLACK MAGIC
024205,COLOCASIA ESC BLACK MAGIC
027891,CONVALLARIA MAJALIS
027741,CONVOLVULUS MAURITANICUS
051351,COPROSMA BLACK CLOUD
051352,COPROSMA BLACK CLOUD
082751,COPROSMA EVENING GLOW
082752,COPROSMA EVENING GLOW
082761,COPROSMA RAINBOW SURPRISE
082762,COPROSMA RAINBOW SURPRISE
090451,COPROSMA TEQUILA SUNRISE PPAF
090451S,COPROSMA TEQUILA SUNRISE PPAF
031731,CORD FESTIVAL TM BRGNDY P14224
031732,CORD FESTIVAL TM BRGNDY P14224
075251,CORD FESTIVAL TM RASPBERRY PAF
075252,CORD FESTIVAL TM RASPBERRY PAF
091482,CORD SOUTHRN SPLENDOR PP19102
027851,CORDYLINE AUS TORBAY DAZZLER
027855,CORDYLINE AUS TORBAY DAZZLER
017431,CORDYLINE AUSTRALIS SUNDANCE
094081S,CORDYLINE B ELECTRIC PINK PPAF
03172UT,CORDYLINE BAUERI
031721,CORDYLINE BAUERI
031725,CORDYLINE BAUERI
038821,CORDYLINE BURGUNDY SPIRE PPAF
038825,CORDYLINE BURGUNDY SPIRE PPAF
092731,CORDYLINE CABERNETT
03170UT,CORDYLINE INDIVISA
031701,CORDYLINE INDIVISA
031705,CORDYLINE INDIVISA
01742UT,CORDYLINE RED STAR
017421,CORDYLINE RED STAR
078721,CORE BIGBANG TM CSMC EY P22601
068091,CORE BIGBANG TM FULLMN PP19364
088891,CORE BIGBANG TM MRCRY RSNG PAF
068081,CORE BIGBANG TM RDSHFT PP20412
027911,CORE GRA FLYING SAUCERS P10299
041001,CORE ROSEA HEAVENS GATE P16016
041001S,CORE ROSEA HEAVENS GATE P16016
023011,CORE ROSEA SWEET DREAMS P12720
02212UT,CORE X CREME BRULEE PP16096
022121,CORE X CREME BRULEE PP16096
018301,CORE X LIMEROCK RUBY PP15455
02795UT,COREOPSIS AURICULATA NANA
027951,COREOPSIS AURICULATA NANA
02898UT,COREOPSIS AURICULATA ZAMPHIR
028981,COREOPSIS AURICULATA ZAMPHIR
039531,COREOPSIS AUTUMN BLUSH P18184
00659UT,COREOPSIS GRAND 'HELIOT'
05934UT,COREOPSIS GRAND RISING SUN
00675UT,COREOPSIS GRAND SUNFIRE
006751,COREOPSIS GRAND SUNFIRE
048081,COREOPSIS JETHRO TULL PP18789
048971,COREOPSIS MOONLIGHT PPAF
073901,COREOPSIS PINEAPPLE PIE P22486
073891,COREOPSIS PINK LEMNADE PP18265
039541,COREOPSIS PINWHEEL PP18880
072851,COREOPSIS RUBY FROST PP21758
039601,COREOPSIS SNOWBERRY PP18560
073921,COREOPSIS STRW LEMNADE PP18299
058261,COREOPSIS VER ROUTE 66 PP20609
058262,COREOPSIS VER ROUTE 66 PP20609
018991,COREOPSIS VER TWEETY PPAF
02796UT,COREOPSIS VERT MOONBEAM
027961,COREOPSIS VERT MOONBEAM
027962,COREOPSIS VERT MOONBEAM
02797UT,COREOPSIS VERT ZAGREB
027971,COREOPSIS VERT ZAGREB
027972,COREOPSIS VERT ZAGREB
017361,COREOPSIS X TQUILA SNRIS P9875
027731,CORNUS ALBA ELEGANTISSIMA
027732,CORNUS ALBA ELEGANTISSIMA
027735,CORNUS ALBA ELEGANTISSIMA
027735PT,CORNUS ALBA ELEGANTISSIMA
082785,CORNUS ALBA HEDGEROW GOLD
027861,CORNUS ALBA IVORYHALO TM
027862,CORNUS ALBA IVORYHALO TM
027865,CORNUS ALBA IVORYHALO TM
045281,CORNUS ALBA PRAIRIE FIRE AUREA
045285,CORNUS ALBA PRAIRIE FIRE AUREA
027751,CORNUS ALBA SIBIRICA
027755,CORNUS ALBA SIBIRICA
027872,CORNUS ALTERNIFOLIA
027875,CORNUS ALTERNIFOLIA
02787M,CORNUS ALTERNIFOLIA
027641,CORNUS CANADENSIS
030405,CORNUS FL CHEROKEE CHIEF
030407,CORNUS FL CHEROKEE CHIEF
03040M,CORNUS FL CHEROKEE CHIEF
030655,CORNUS KOUSA CHIN (FEATHERBED)
030657,CORNUS KOUSA CHIN (FEATHERBED)
03065M,CORNUS KOUSA CHIN (FEATHERBED)
027795,CORNUS KOUSA SATOMI
019615,CORNUS KOUSA WOLF EYES
01961M,CORNUS KOUSA WOLF EYES
077325,CORNUS MAS GOLDEN GLORY
034315,CORNUS NUTTALLII
074801S,CORNUS S ARCTIC FIRE TM P18523
074802S,CORNUS S ARCTIC FIRE TM P18523
074805,CORNUS S ARCTIC FIRE TM P18523
074791S,CORNUS SA ARCTIC SUN TM P19892
074792S,CORNUS SA ARCTIC SUN TM P19892
027801,CORNUS SERICEA FLAVIRAMEA
027805,CORNUS SERICEA FLAVIRAMEA
027821,CORNUS SERICEA ISANTI
027825,CORNUS SERICEA ISANTI
044701,CORNUS SERICEA KELSEYI
044702,CORNUS SERICEA KELSEYI
044705,CORNUS SERICEA KELSEYI
080841S,CORNUS STO PUCKERED UP TM PPAF
080842S,CORNUS STO PUCKERED UP TM PPAF
080845,CORNUS STO PUCKERED UP TM PPAF
027615,CORNUS X AURORA R
027625,CORNUS X CONSTELLATION R
027627,CORNUS X CONSTELLATION R
02762M,CORNUS X CONSTELLATION R
027585,CORNUS X STELLAR PINK R
027587,CORNUS X STELLAR PINK R
02758M,CORNUS X STELLAR PINK R
030395,CORNUS X VENUS R PP16309
030397,CORNUS X VENUS R PP16309
03039M,CORNUS X VENUS R PP16309
036831,COROKIA COTONEASTER
03683E,COROKIA COTONEASTER
090462,COROKIA X VIR PHANTOM PP19257
047181,CORYDALIS CNRY FEATHERS P17212
047181S,CORYDALIS CNRY FEATHERS P17212
028171,CORYDALIS FLEX CHINA BLUE
017945,CORYLOPSIS SPICATA
017455,CORYLUS AV CONTORTA-OWN ROOT
017457,CORYLUS AV CONTORTA-OWN ROOT
004411,COSMOS ATROSANGUINEUS
028301,COT ACUTIFOLIUS
028501,COT APICULATUS
028502,COT APICULATUS
028505,COT APICULATUS
028505PT,COT APICULATUS
02855UT,COT APICULATUS TOM THUMB
028551,COT APICULATUS TOM THUMB
028552,COT APICULATUS TOM THUMB
028555PT,COT APICULATUS TOM THUMB
029001,COT DAM CORAL BEAUTY
029002,COT DAM CORAL BEAUTY
029005,COT DAM CORAL BEAUTY
029005PT,COT DAM CORAL BEAUTY
029101,COT DAM EICHHOLZ
029102,COT DAM EICHHOLZ
029451,COT HOR PERPUSILLUS
029455,COT HOR PERPUSILLUS
028311,COT HOR VARIEGATUS
028315,COT HOR VARIEGATUS
03025UT,COT STREIB'S FINDLING
030251,COT STREIB'S FINDLING
030252,COT STREIB'S FINDLING
030255,COT STREIB'S FINDLING
030255PT,COT STREIB'S FINDLING
017641,COTI MAGICAL R GRN FNTN P14120
017642,COTI MAGICAL R GRN FNTN P14120
017645,COTI MAGICAL R GRN FNTN P14120
01764M,COTI MAGICAL R GRN FNTN P14120
016612,COTINUS C GOLDEN SPIRIT P13082
016615,COTINUS C GOLDEN SPIRIT P13082
01661M,COTINUS C GOLDEN SPIRIT P13082
028141,COTINUS COG ROYAL PURPLE
028142,COTINUS COG ROYAL PURPLE
028145,COTINUS COG ROYAL PURPLE
028145PT,COTINUS COG ROYAL PURPLE
02814M,COTINUS COG ROYAL PURPLE
028151,COTINUS X GRACE
028152,COTINUS X GRACE
028155,COTINUS X GRACE
028155PT,COTINUS X GRACE
02815M,COTINUS X GRACE
074161,COTYLEDON ORB SILVER CLOUD
069201,COTYLEDON ORBICULATA
063641,CRASSULA CAPITELLA CAMPFIRE
078231,CRASSULA CLAVATA
079261,CRASSULA PEL CALICO KITTEN
023662,CROCOSMIA BABYLON
048781,CROCOSMIA BRIGHT EYES R P17165
048782,CROCOSMIA BRIGHT EYES R P17165
080972,CROCOSMIA BUTTERCUP
057452,CROCOSMIA COLUMBUS
019472,CROCOSMIA EMBERGLOW
073411,CROCOSMIA LUCIFER
073412,CROCOSMIA LUCIFER
089392,CROSSANDRA ORANGE MARMALADE
089402,CROSSANDRA RED MARMALADE
035351,CRYPTOMERIA J BLACK DRAGON
035355,CRYPTOMERIA J BLACK DRAGON
048525,CRYPTOMERIA J GLOBOSA
031431,CRYPTOMERIA J GLOBOSA NANA
031435,CRYPTOMERIA J GLOBOSA NANA
028815,CRYPTOMERIA J GYOKURYU
028819,CRYPTOMERIA J GYOKURYU
004461,CRYPTOMERIA J YOSHINO
004465,CRYPTOMERIA J YOSHINO
030605,CUP AR BLUE PYRAMID
030607,CUP AR BLUE PYRAMID
047115,CUP GLABRA CHAPARRAL
047105,CUP GLABRA SULPHUREA
030521,CUP LEY CASTLEWELLAN
030525,CUP LEY CASTLEWELLAN
030527,CUP LEY CASTLEWELLAN
030511,CUP LEY EMERALD ISLE R
030512,CUP LEY EMERALD ISLE R
030512SP,CUP LEY EMERALD ISLE R
030515,CUP LEY EMERALD ISLE R
030515SP,CUP LEY EMERALD ISLE R
030517,CUP LEY EMERALD ISLE R
030517SP,CUP LEY EMERALD ISLE R
030519,CUP LEY EMERALD ISLE R
031645,CUP LEY GOLD RIDER
031649,CUP LEY GOLD RIDER
030541,CUP LEY NAYLOR'S BLUE
030545,CUP LEY NAYLOR'S BLUE
030505,CUP LEYLANDII
030507,CUP LEYLANDII
030509,CUP LEYLANDII
047571,CUP MAC DONARD GOLD
047572,CUP MAC DONARD GOLD
047575,CUP MAC DONARD GOLD
04757M,CUP MAC DONARD GOLD
055812,CUP MAC WILMA GOLDCREST
055815,CUP MAC WILMA GOLDCREST
030701,CUP SEMP GLAUCA
030705,CUP SEMP GLAUCA
030707,CUP SEMP GLAUCA
030709,CUP SEMP GLAUCA
030751,CUP SEMP SWANE'S GOLDEN
030752,CUP SEMP SWANE'S GOLDEN
030755,CUP SEMP SWANE'S GOLDEN
030755SP,CUP SEMP SWANE'S GOLDEN
030757,CUP SEMP SWANE'S GOLDEN
03075E,CUP SEMP SWANE'S GOLDEN
030731,CUP SEMP TINY TOWER R PP12933
030732,CUP SEMP TINY TOWER R PP12933
030735,CUP SEMP TINY TOWER R PP12933
030737,CUP SEMP TINY TOWER R PP12933
030739,CUP SEMP TINY TOWER R PP12933
03073E,CUP SEMP TINY TOWER R PP12933
03073Z,CUP SEMP TINY TOWER R PP12933
083041,CUPHEA HYS ITSY BITSY R LILAC
030121,CUPHEA HYS ITSY BITSY R ROSE
083001,CUPHEA HYS ITSY BITSY R WHITE
033711,CUPHEA HYS RIVERDENE GOLD PPAF
030491,CUPHEA HYSSOPIFOLIA
032891,CUPHEA LLAVEA
093881,CUPHEA LLAVEA CHA CHA PPAF
046301,CUPHEA LLAVEA PINK SELECT
093891,CUPHEA LLAVEA RUMBA PP17213
093901,CUPHEA LLAVEA SAMBA PP17823
093911,CUPHEA LLAVEA TANGO PP17285
088912,CYNARA SCO GREEN GLOBE
031122,CYNARA SCO IMP GREEN GLOBE
035431S,CYPRIPEDIUM REGINAE
031381,CYTISUS ALLGOLD
031382,CYTISUS ALLGOLD
031385,CYTISUS ALLGOLD
031361,CYTISUS LENA
031365,CYTISUS LENA
031451,CYTISUS MINSTEAD
031455,CYTISUS MINSTEAD
048531,CYTISUS PUR SPANISH GOLD R
048532,CYTISUS PUR SPANISH GOLD R
038201,CYTISUS X SPACHIANUS
038202,CYTISUS X SPACHIANUS
038205,CYTISUS X SPACHIANUS
031532,DAPHNE BURK CAROL MACKIE
049231,DAPHNE ETRNL FRAGRANCE PP18361
049232,DAPHNE ETRNL FRAGRANCE PP18361
049233,DAPHNE ETRNL FRAGRANCE PP18361
031521S,DAPHNE OD AUREO-MARGINATA
031523,DAPHNE OD AUREO-MARGINATA
031525PT,DAPHNE OD AUREO-MARGINATA
049822,DAPHNE X HOUT FEBRUARY PLUM
049825,DAPHNE X HOUT FEBRUARY PLUM
048065,DAPHNE X NAPOLITANA
068312,DAPHNE X TRANSATL SUMMER ICE
072065,DAPHNIPHYLLUM MACRO HC 97
025345,DASYLIRION LONGISSIUM
025349,DASYLIRION LONGISSIUM
034845,DASYLIRION TEXANUM
029585,DASYLIRION WHEELERI
025675,DAVIDIA INVOLUCRATA
03420UT,DELOSPERMA COOPERI
034201,DELOSPERMA COOPERI
04854UT,DELOSPERMA DY RED MOUNTAIN R
048541,DELOSPERMA DY RED MOUNTAIN R
078741,DELOSPERMA FIRE SPINNER R
08467UT,DELOSPERMA JL OF DSRT RUBY PAF
084671,DELOSPERMA JL OF DSRT RUBY PAF
05946UT,DELOSPERMA MESA VERDE PP13876
059461,DELOSPERMA MESA VERDE PP13876
05947UT,DELOSPERMA NUB BASUTOLAND
059471,DELOSPERMA NUB BASUTOLAND
07584UT,DELOSPERMA NUB HARDY
07585UT,DELOSPERMA WHITE NUGGET
075551,DELPHINIUM G MORPHO GRAND BLUE
00459UT,DELPHINIUM GRAND BLUE MIRROR
004591,DELPHINIUM GRAND BLUE MIRROR
00462UT,DELPHINIUM MAGIC FOUNTAIN
00680UT,DELPHINIUM SUMMER CLOUD
029891S,DEUTZIA CHRDNY PERLS R PP16098
029892S,DEUTZIA CHRDNY PERLS R PP16098
031571,DEUTZIA GRACILIS NIKKO
031572,DEUTZIA GRACILIS NIKKO
031591,DEUTZIA HYBRIDA PINK-A-BOO R
031595,DEUTZIA HYBRIDA PINK-A-BOO R
091861,DEUTZIA NA74354
091871,DEUTZIA NA74355
052211,DEUTZIA PULCHRA (7046)
056421,DEUTZIA SET CORYMBIFLORA
056422,DEUTZIA SET CORYMBIFLORA
056425,DEUTZIA SET CORYMBIFLORA
031581,DEUTZIA X KALMIIFLORA
031582,DEUTZIA X KALMIIFLORA
031585,DEUTZIA X KALMIIFLORA
091881,DEUTZIA X NIKKO BLUSH NA74356
091882,DEUTZIA X NIKKO BLUSH NA74356
098281S,DIANELLA CAE BECCA PP18505
098301S,DIANELLA CAE CASSABLUE PPAF
098371S,DIANELLA LITTLE BECCA PP18452
098311S,DIANELLA REV BABY BLISS P18883
098271S,DIANELLA RV LITTLE REV PP17719
066061,DIANELLA TAS SILVER STREAK
066062,DIANELLA TAS SILVER STREAK
098291S,DIANELLA TAS TASRED PPAF
016351,DIANELLA TAS YELLOW STRIPE
016352,DIANELLA TAS YELLOW STRIPE
031341,DIANELLA TASMANICA VARIEGATA
031342,DIANELLA TASMANICA VARIEGATA
068521,DIANTHUS BAR DIAB PUR PICOTEE
044731,DIANTHUS BAR HEART ATTACK
067621,DIANTHUS BAR NANUS MIDGET
067631,DIANTHUS BAR OESCHBERG
073451,DIANTHUS COCONUT PUNCH PPAF
044741,DIANTHUS CRANBERRY ICE PPAF
073521,DIANTHUS DRAGON FRUIT PPAF
00689UT,DIANTHUS EVERLAST BURGDY BLUSH
006891,DIANTHUS EVERLAST BURGDY BLUSH
00690UT,DIANTHUS EVERLAST LILAC + EYE
006901,DIANTHUS EVERLAST LILAC + EYE
00695UT,DIANTHUS EVERLAST ORCHID
006951,DIANTHUS EVERLAST ORCHID
05968UT,DIANTHUS FIRE STAR PP14895
059681,DIANTHUS FIRE STAR PP14895
067731,DIANTHUS FIRST LOVE R
03133UT,DIANTHUS FROSTY FIRE
031331,DIANTHUS FROSTY FIRE
00461UT,DIANTHUS G RED BEAUTY PP20301
00471UT,DIANTHUS GRAT BATHS PINK
004711,DIANTHUS GRAT BATHS PINK
00472UT,DIANTHUS GRAT FIREWITCH
004721,DIANTHUS GRAT FIREWITCH
004741,DIANTHUS GRAT MOUNTAIN MIST
04596UT,DIANTHUS NEON STAR PP14549
073511,DIANTHUS POMEGRANATE KISS PPAF
094501,DIANTHUS RASP SURPRISE PP16029
03647UT,DIANTHUS RASPBRY SWIRL PP14377
036471,DIANTHUS RASPBRY SWIRL PP14377
07581UT,DIANTHUS SHOOTING STAR PPAF
02477UT,DIANTHUS SPANGLED STAR PP13029
024771,DIANTHUS SPANGLED STAR PP13029
042771,DIANTHUS WINK
014561,DIASCIA INT CORAL CANYON R
06774UT,DIASCIA INTEGERRIMA BENTH
067741,DIASCIA INTEGERRIMA BENTH
004801,DICENTRA BURNINGHEARTS PP20797
004811,DICENTRA KING OF HEARTS
004901,DICENTRA SP VALENTINE R P22739
004902,DICENTRA SP VALENTINE R P22739
035621,DICENTRA SPEC GOLD HEART
035621S,DICENTRA SPEC GOLD HEART
035622,DICENTRA SPEC GOLD HEART
004841,DICENTRA SPECTABILIS
075861,DICENTRA SPECTABILIS ALBA
031611,DICENTRA X LUXURIANT
061591,DIETES BICOLOR (MORAEA)
061595,DIETES BICOLOR (MORAEA)
061601,DIETES IRIDIOIDES (MORAEA)
061605,DIETES IRIDIOIDES (MORAEA)
046741,DIETES X KATRINA R PP 21460
046741S,DIETES X KATRINA R PP 21460
046742,DIETES X KATRINA R PP 21460
046745,DIETES X KATRINA R PP 21460
00487UT,DIGITALIS PURPUREA FOXY
004871,DIGITALIS PURPUREA FOXY
00488UT,DIGITALIS X MERTONENSIS
004881,DIGITALIS X MERTONENSIS
03608MT,DIOSPYROS FUYU
053561,DISPOROPSIS JINFUSHANENSIS
021821,DISPOROPSIS PER SICHUAN JADE
049831,DISPORUM CANT GREEN GIANT
049832,DISPORUM CANT GREEN GIANT
049835,DISPORUM CANT GREEN GIANT
080762,DISPORUM CANT NIGHT HERON
012451,DISTICTIS BUCCINATORIA
012455,DISTICTIS BUCCINATORIA
012471,DISTICTIS RIVERS
012472,DISTICTIS RIVERS
012475,DISTICTIS RIVERS
031651,DODONAEA VIS PURPUREA
031655,DODONAEA VIS PURPUREA
072241,DORONICUM OR LEONARDO TM COMP
033291,DORONICUM OR LITTLE LEO
049852,DRIMYS HYB-WINDCLIFF RED STEM
050611,DRIMYS LANCEOLATA
050612,DRIMYS LANCEOLATA
050615,DRIMYS LANCEOLATA
049845,DRIMYS WIN PEWTER PILLAR R
049845TR,DRIMYS WIN PEWTER PILLAR R
057791,DUDLEYA PULVERULENTA
069211,ECHEVERIA AGAVOIDES LIPSTICK
06350UT,ECHEVERIA BLACK PRINCE
063501,ECHEVERIA BLACK PRINCE
063501S,ECHEVERIA BLACK PRINCE
067501S,ECHEVERIA CANTE WHITE CLOUD
067502,ECHEVERIA CANTE WHITE CLOUD
079151,ECHEVERIA DERENBERGII
079161,ECHEVERIA ELEGANS
073801,ECHEVERIA GIBBIFLORA METALLICA
073822,ECHEVERIA HAAGI TOLIMAENSIS
077831S,ECHEVERIA HYB RED GLO TM
06863UT,ECHEVERIA IMBRICATA
068631,ECHEVERIA IMBRICATA
068631S,ECHEVERIA IMBRICATA
069231S,ECHEVERIA NODULOSA
077821,ECHEVERIA PERLE VON NURNBERG
073812,ECHEVERIA ROUNDLEAF
064111,ECHEVERIA RUFFLES
063481,ECHEVERIA RUNYONII TOPSY TURVY
073791,ECHEVERIA SETOSA
063491,ECHEVERIA SHAVIANA
063451,ECHEVERIA SUBRIGIDA
018381,ECHIN MNGO MEADWBRTE TM P16636
020221,ECHIN ORG MEADWBRITE TM P15090
03227UT,ECHIN PXIE MEADWBRTE TM P18546
032271,ECHIN PXIE MEADWBRTE TM P18546
032271S,ECHIN PXIE MEADWBRTE TM P18546
086821,ECHIN SMBRO TM HOT CORL P23097
007051,ECHIN 'SUPREME CANTALOUPE'
08702UT,ECHINACEA CHEYENNE SPIRIT
087021,ECHINACEA CHEYENNE SPIRIT
059711,ECHINACEA COCONUT LIME PP18617
02034UT,ECHINACEA CRAZY PINK TM
022831,ECHINACEA CRNBRY CUPCAKE PPAF
074871,ECHINACEA DAYDREAM PPAF
054431,ECHINACEA FIREBIRD PPAF
039571,ECHINACEA FRAGRNT ANGEL P16054
039571S,ECHINACEA FRAGRNT ANGEL P16054
037511,ECHINACEA GREEN EYES PP17172
037511S,ECHINACEA GREEN EYES PP17172
059701,ECHINACEA HARVEST MOON TM
004891,ECHINACEA KIMS KNEE HI PP12242
038921,ECHINACEA MAC'N CHEESE PP19464
077121,ECHINACEA NOW CHEESIER PPAF
047511,ECHINACEA PNK DBL DLITE P18803
00312UT,ECHINACEA POWWOW R WHITE
003121,ECHINACEA POWWOW R WHITE
00299UT,ECHINACEA POWWOW R WILDBERRY
002991,ECHINACEA POWWOW R WILDBERRY
043401,ECHINACEA PRAIRIE SPLENDOR
043402,ECHINACEA PRAIRIE SPLENDOR
051555,ECHINACEA PUR BRIGHT STAR-SEL
059741,ECHINACEA PUR HOT PAPAYA PPAF
03177UT,ECHINACEA PUR MAGNUS
031771,ECHINACEA PUR MAGNUS
031772,ECHINACEA PUR MAGNUS
032341,ECHINACEA PUR MERINGUE PPAF
039581,ECHINACEA PUR MERLOT PP18814
039581S,ECHINACEA PUR MERLOT PP18814
074111,ECHINACEA PUR MILKSHAKE PPAF
059721,ECHINACEA PUR PICA BELLA
01822UT,ECHINACEA PUR RUBY STAR
018221,ECHINACEA PUR RUBY STAR
03367UT,ECHINACEA PUR WHITE SWAN
033671,ECHINACEA PUR WHITE SWAN
039591,ECHINACEA RASPBRY TART PP18560
036281,ECHINACEA SUNDOWN TM PP17659
048651,ECHINACEA TIKI TORCH PP18839
057301,ECHINACEA TOMATO SOUP PPAF
022181,ECHINACEA TWILIGHT PP17651
069241,ECHINOCEREUS TRIG INERMIS
030562,ECHINOPSIS OXYGONA
057925,EDGEWORTHIA CHRYSANTHA - DJHC
031931,ELAEAGNUS EBB GILT EDGE
031935,ELAEAGNUS EBB GILT EDGE
031901,ELAEAGNUS EBBINGEI
031902,ELAEAGNUS EBBINGEI
031903,ELAEAGNUS EBBINGEI
031953,ELAEAGNUS FRUITLANDII
016625,ELAEO LITTLE EMPEROR TM P17611
031965,ELAEOCARPUS DECIPIENS
031965TR,ELAEOCARPUS DECIPIENS
031967,ELAEOCARPUS DECIPIENS
031967TR,ELAEOCARPUS DECIPIENS
031969,ELAEOCARPUS DECIPIENS
031969TR,ELAEOCARPUS DECIPIENS
070145,EMBOTHRIUM COCCINEUM
020172,ENKIANTHUS CAM SIKOKIANUS
032032,ENKIANTHUS CAMPANULATUS
062005,ENSETE MAURELII
062009,ENSETE MAURELII
061951,ENSETE VENTRICOSUM
061955,ENSETE VENTRICOSUM
032021,EPIMEDIUM GRAND ROSE QUEEN
031971,EPIMEDIUM PER FROHNLEITEN
071481,EREMOPHILA HYGRO BLUE BELLS TM
025361,EREMOPHILA MAC VAR BREVIFOLIA
025362,EREMOPHILA MAC VAR BREVIFOLIA
034851,EREMOPHILA RACEMOSA
032161,ERICA ATROPURPUREA
032162,ERICA ATROPURPUREA
020291,ERICA C.D. EASON
020292,ERICA C.D. EASON
017961,ERICA KRAMER'S RED
017962,ERICA KRAMER'S RED
032071,ERICA MEDITERRANEAN PINK
032072,ERICA MEDITERRANEAN PINK
032092,ERICA MRS.D.F.MAXWELL
032081,ERICA SILBERSCHMELZE
032082,ERICA SILBERSCHMELZE
020281,ERICA SWEDISH YELLOW
020282,ERICA SWEDISH YELLOW
03212UT,ERIGERON GLA SEA BREEZE P12076
032121,ERIGERON GLA SEA BREEZE P12076
