Loc,Item,Description,Botanical Name,Common Name,Product,,,,,,,,,,,,,,,,
OR,02328MST,CEDRUS DEODARA FEELIN BLUE,Cedrus deodara 'Feelin' Blue'                               ,Feelin' Blue Deodar Cedar                                   ,CON,,,,,,,,,,,,,,,,
OR,051275ST,CEDRUS FEELIN SUNNY R PP23886,"Cedrus deodara 'MonKinn' P.P.# 23,886                       ",Feelin' Sunny®  Deodar Cedar,CON,,,,,,,,,,,,,,,,
OR,017381,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   ,CON,,,,,,,,,,,,,,,,
OR,017382,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   ,CON,,,,,,,,,,,,,,,,
OR,017385,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   ,CON,,,,,,,,,,,,,,,,
OR,028832,CEPHALOTAXUS HAR PROSTRATA,Cephalotaxus harringtonia 'Prostrata'                       ,Spreading Japanese Plum Yew                                 ,CON,,,,,,,,,,,,,,,,
OR,028835,CEPHALOTAXUS HAR PROSTRATA,Cephalotaxus harringtonia 'Prostrata'                       ,Spreading Japanese Plum Yew                                 ,CON,,,,,,,,,,,,,,,,
OR,023481,CERATOSTIGMA PLUMBAGINOIDES,Ceratostigma plumbaginoides                                 ,Dwarf Plumbago                                              ,PRN,,,,,,,,,,,,,,,,
OR,038425,CERCIS C ACE OF HEARTS PP17161,"Cercis canadensis 'Ace Of Hearts' P.P. #17,161              ",Ace of Hearts Redbud                                        ,TRE,,,,,,,,,,,,,,,,
OR,049545,CERCIS C LITTLE WOODY PPAF,"Cercis canadensis 'Little Woody' P.P. #15,854               ",Little Woody Redbud                                         ,TRE,,,,,,,,,,,,,,,,
OR,017855,CERCIS LAVENDER TWIST R P10328,"Cercis canadensis 'Covey' P.P. #10,328                      ",Lavender Twist®  Redbud,TRE,,,,,,,,,,,,,,,,
OR,074442S,CHAEN DBLTKE TM OR STRM P20950,"Chaenomeles speciosa 'Orange Storm' P.P. #20,950, C.B.R.A.F.",Double Take™  Orange Storm Flowering Quince,DCS,,,,,,,,,,,,,,,,
OR,074452S,CHAEN DBLTKE TM PK STRM P20920,"Chaenomeles speciosa 'Pink Storm' P.P.# 20,920, CBRAF       ",Double Take™  Pink Storm Flowering Quince,DCS,,,,,,,,,,,,,,,,
OR,033805,CHAM L YVONNE-GUARDIAN R,Chamaecyparis lawsoniana 'Yvonne'                           ,Yvonne Port Orford Cedar - The Guardian®  Series,CON,,,,,,,,,,,,,,,,
OR,023655,CHAM NOOT PENDULA,Chamaecyparis nootkatensis 'Pendula'                        ,Weeping Nootka Cypress                                      ,CON,,,,,,,,,,,,,,,,
OR,02365M,CHAM NOOT PENDULA,Chamaecyparis nootkatensis 'Pendula'                        ,Weeping Nootka Cypress                                      ,CON,,,,,,,,,,,,,,,,
OR,023905,CHAM OBT FILICOIDES,Chamaecyparis obtusa 'Filicoides'                           ,Fernspray False Cypress                                     ,CON,,,,,,,,,,,,,,,,
OR,023685,CHAM OBT GRACILIS,Chamaecyparis obtusa 'Gracilis'                             ,Slender Hinoki False Cypress                                ,CON,,,,,,,,,,,,,,,,
OR,023912,CHAM OBT TEMPELHOF,Chamaecyparis obtusa 'Tempelhof'                            ,Tempelhof Cypress                                           ,CON,,,,,,,,,,,,,,,,
OR,082401,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,,,,,,,,,,,,,,,,
OR,082402,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,,,,,,,,,,,,,,,,
OR,082405,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,,,,,,,,,,,,,,,,
OR,08240UT,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON,,,,,,,,,,,,,,,,
OR,024031,CHAM PIS FIL GOLDEN CHARM,Chamaecyparis pisifera filifera 'Golden Charm'              ,Golden Charm Thread-Branch Cypress                          ,CON,,,,,,,,,,,,,,,,
OR,024035,CHAM PIS FIL GOLDEN CHARM,Chamaecyparis pisifera filifera 'Golden Charm'              ,Golden Charm Thread-Branch Cypress                          ,CON,,,,,,,,,,,,,,,,
OR,074782S,CHAM PIS SOFT SERVE R PPAF,Chamaecyparis pisifera 'Dow Whiting' P.P.A.F.               ,Soft Serve®  False Cypress,CON,,,,,,,,,,,,,,,,
OR,023822,CHAM PIS SQUARROSA MINIMA,Chamaecyparis pisifera 'Squarrosa Minima'                   ,Miniature Moss False Cypress                                ,CON,,,,,,,,,,,,,,,,
OR,024165,CHIONANTHUS RETUSUS,Chionanthus retusus                                         ,Chinese Fringe Tree                                         ,TRE,,,,,,,,,,,,,,,,
OR,024185,CHIONANTHUS VIRGINICUS,Chionanthus virginicus                                      ,White Fringe Tree                                           ,TRE,,,,,,,,,,,,,,,,
OR,048622,CHOISYA TERN SUNDANCE,Choisya ternata 'Sundance'                                  ,Sundance Mexican Orange Blossom                             ,EVS,,,,,,,,,,,,,,,,
OR,412561,CHRY (LEU) REAL CHARMER PPAF,Chrysanthemum 'Real Charmer' P.P.A.F.                       ,Real Charmer Shasta Daisy                                   ,PRN,,,,,,,,,,,,,,,,
OR,412571,CHRY (LEU) REAL GALAXY PPAF,Chrysanthemum 'Real Galaxy' P.P.A.F.                        ,Real Galaxy Shasta Daisy                                    ,PRN,,,,,,,,,,,,,,,,
OR,407861,CHRY (LEUCA) X REAL GLORY,Chrysanthemum 'Real Glory' P.P.A.F.                         ,Real Glory Shasta Daisy                                     ,PRN,,,,,,,,,,,,,,,,
OR,023021,CHRYS (LEUCANTH) X SUP BECKY,Chrysanthemum x superbum 'Becky'                            ,Becky Shasta Daisy                                          ,PRN,,,,,,,,,,,,,,,,
OR,050515,CISTUS GRAYSWOOD PINK,Cistus 'Grayswood Pink'                                     ,Grayswood Pink Rock Rose                                    ,EVS,,,,,,,,,,,,,,,,
OR,048041,CLEM CENTER STAR TM PP17010,"Clematis x 'Center Star' P.P.# 17,010                       ",Center Star Clematis                                        ,PRN,,,,,,,,,,,,,,,,
OR,027251,CLEM INTEGRIFOLIA CAERULEA,Clematis integrifolia 'Caerulea'                            ,Bushy Blue Bell Clematis                                    ,PRN,,,,,,,,,,,,,,,,
OR,027431,CLEM MONTANA FREDA,Clematis montana 'Freda'                                    ,Freda Anemone Clematis                                      ,VIN,,,,,,,,,,,,,,,,
OR,027435,CLEM MONTANA FREDA,Clematis montana 'Freda'                                    ,Freda Anemone Clematis                                      ,VIN,,,,,,,,,,,,,,,,
OR,027401,CLEM MONTANA RUBENS,Clematis montana rubens                                     ,Pink Anemone Clematis                                       ,VIN,,,,,,,,,,,,,,,,
OR,021865,CLEM SAPPHIRE INDIGO TMPP17012,"Clematis 'Cleminov 51' P.P. # 17,012                        ",Sapphire Indigo™  Clematis,VIN,,,,,,,,,,,,,,,,
OR,055211,CLEM SIEBOLDII,Clematis florida Seiboldii                                  ,Florida Seiboldii Clematis                                  ,VIN,,,,,,,,,,,,,,,,
OR,055215,CLEM SIEBOLDII,Clematis florida Seiboldii                                  ,Florida Seiboldii Clematis                                  ,VIN,,,,,,,,,,,,,,,,
OR,038002,CLEM TEX PRINCESS DIANA,Clematis texensis 'Princess Diana'                          ,Princess Diana Clematis                                     ,VIN,,,,,,,,,,,,,,,,
OR,038005,CLEM TEX PRINCESS DIANA,Clematis texensis 'Princess Diana'                          ,Princess Diana Clematis                                     ,VIN,,,,,,,,,,,,,,,,
OR,046272,CLEM VANCOUVER TM FRGRNT STAR,Clematis x 'Fragrant Star'                                  ,Vancouver™  Fragrant Star Clematis,VIN,,,,,,,,,,,,,,,,
OR,046275,CLEM VANCOUVER TM FRGRNT STAR,Clematis x 'Fragrant Star'                                  ,Vancouver™  Fragrant Star Clematis,VIN,,,,,,,,,,,,,,,,
OR,048742,CLEM VANCOUVER TM STARRY NGHTS,Clematis x 'Starry Nights'                                  ,Vancouver™  Starry Nights Clematis,VIN,,,,,,,,,,,,,,,,
OR,048745,CLEM VANCOUVER TM STARRY NGHTS,Clematis x 'Starry Nights'                                  ,Vancouver™  Starry Nights Clematis,VIN,,,,,,,,,,,,,,,,
OR,015901,CLEM X BLUE LIGHT R PP15953,Clematis x 'Vanso' P.P.# 15953                              ,Blue Light®  Clematis,VIN,,,,,,,,,,,,,,,,
OR,015905,CLEM X BLUE LIGHT R PP15953,Clematis x 'Vanso' P.P.# 15953                              ,Blue Light®  Clematis,VIN,,,,,,,,,,,,,,,,
OR,090615,CLEM X CART AVALANCHE,Clematis x cartmanii 'Blaaval'                              ,Avalanche Evergreen Clematis                                ,VIN,,,,,,,,,,,,,,,,
OR,027221,CLEM X COMTESSE DE BOUCHAUD,Clematis x 'Comtesse de Bouchaud'                           ,Comtesse De Bouchaud Clematis                               ,VIN,,,,,,,,,,,,,,,,
OR,027225,CLEM X COMTESSE DE BOUCHAUD,Clematis x 'Comtesse de Bouchaud'                           ,Comtesse De Bouchaud Clematis                               ,VIN,,,,,,,,,,,,,,,,
OR,027265,CLEM X JACKMANII,Clematis x jackmanii                                        ,Jackman Clematis                                            ,VIN,,,,,,,,,,,,,,,,
OR,044482,CLEM X JACKMANII SUPERBA,Clematis x jackmanii 'Superba'                              ,Jackman Superba Clematis                                    ,VIN,,,,,,,,,,,,,,,,
OR,044485,CLEM X JACKMANII SUPERBA,Clematis x jackmanii 'Superba'                              ,Jackman Superba Clematis                                    ,VIN,,,,,,,,,,,,,,,,
OR,055205,CLEM X MRS. SPENCER CASTLE,Clematis 'Mrs. Spencer Castle'                              ,Mrs. Spencer Castle Clematis                                ,VIN,,,,,,,,,,,,,,,,
OR,027065,CLEM X MULTI-BLUE,Clematis x 'Multi-blue'                                     ,Multi-Blue Clematis                                         ,VIN,,,,,,,,,,,,,,,,
OR,027441,CLEM X NELLY MOSER,Clematis x 'Nelly Moser'                                    ,Nelly Moser Clematis                                        ,VIN,,,,,,,,,,,,,,,,
OR,027445,CLEM X NELLY MOSER,Clematis x 'Nelly Moser'                                    ,Nelly Moser Clematis                                        ,VIN,,,,,,,,,,,,,,,,
OR,027465,CLEM X NIOBE,Clematis x 'Niobe'                                          ,Niobe Clematis                                              ,VIN,,,,,,,,,,,,,,,,
OR,027071,CLEM X PINK CHAMPAGNE,Clematis x 'Pink Champagne'                                 ,Pink Champagne Clematis                                     ,VIN,,,,,,,,,,,,,,,,
OR,027072,CLEM X PINK CHAMPAGNE,Clematis x 'Pink Champagne'                                 ,Pink Champagne Clematis                                     ,VIN,,,,,,,,,,,,,,,,
OR,027075,CLEM X PINK CHAMPAGNE,Clematis x 'Pink Champagne'                                 ,Pink Champagne Clematis                                     ,VIN,,,,,,,,,,,,,,,,
OR,027495,CLEM X ROUGE CARDINAL,Clematis x 'Rouge Cardinal'                                 ,Rouge Cardinal Clematis                                     ,VIN,,,,,,,,,,,,,,,,
OR,026372,CLEM X TOKI,Clematis x 'Toki'                                           ,Toki Clematis                                               ,VIN,,,,,,,,,,,,,,,,
OR,026375,CLEM X TOKI,Clematis x 'Toki'                                           ,Toki Clematis                                               ,VIN,,,,,,,,,,,,,,,,
OR,022431,CLEMATIS INT BLUE RIBBONS,Clematis integrifolia 'Blue Ribbons'                        ,Blue Ribbons Bush Clematis                                  ,PRN,,,,,,,,,,,,,,,,
OR,027532,CLETHRA ALN RUBY SPICE,Clethra alnifolia 'Ruby Spice'                              ,Ruby Spice Summersweet                                      ,DCS,,,,,,,,,,,,,,,,
OR,055535,CLETHRA BARBINERVIS VARIEGATA,Clethra barbinervis 'Takeda Nishiki'                        ,First Snow®  Japanese Clethra,DCS,,,,,,,,,,,,,,,,
OR,078721,CORE BIGBANG TM CSMC EY P22601,"Coreopsis x 'Cosmic Eye' P.P.#22,601                        ",Big Bang™  Cosmic Eye Tickseed,PRN,,,,,,,,,,,,,,,,
OR,088891,CORE BIGBANG TM MRCRY RSNG PAF,Coreopsis x 'Mercury Rising' P.P.A.F.                       ,Big Bang™  Mercury Rising Tickseed,PRN,,,,,,,,,,,,,,,,
OR,018401,CORE CRUZIN' TM BROAD STRT PAF,"Coreopsis verticillata 'Broad Street' P.P. #24,598          ",Broad Street Tickseed (Cruizin' Series)                     ,PRN,,,,,,,,,,,,,,,,
OR,018421,CORE CRUZIN' TM ELCTRC AVE PAF,"Coreopsis verticillata 'Electric Avenue' P.P.#24,688        ",Electric Avenue Tickseed (Cruizin' Series)                  ,PRN,,,,,,,,,,,,,,,,
OR,018411,CORE CRUZIN' TM MAIN STRT PAF,"Coreopsis verticillata 'Main Street' P.P.#24,562            ",Main Street Tickseed (Cruizin' Series)                      ,PRN,,,,,,,,,,,,,,,,
OR,408551,CORE LIL' BANG TM DAYBREAK PAF,Coreopsis 'Daybreak' P.P.A.F.                               ,Lil' Bang™  Daybreak Tickseed,PRN,,,,,,,,,,,,,,,,
OR,408541,CORE LIL' BANG TM RED ELF,Coreopsis x 'Red Elf' P.P.A.F.                              ,Lil' Bang™  Red Elf Tickseed,PRN,,,,,,,,,,,,,,,,
OR,408531,CORE LIL' BANG TM STARLIGHT,Coreopsis 'Starlight' P.P.A.F.                              ,Lil' Bang™  Starlight Tickseed,PRN,,,,,,,,,,,,,,,,
OR,058261,COREOPSIS VER ROUTE 66 PP20609,"Coreopsis verticillata 'Route 66' P.P.# 20,609              ",Route 66 Tickseed (Cruizin' Series)                         ,PRN,,,,,,,,,,,,,,,,
OR,058262,COREOPSIS VER ROUTE 66 PP20609,"Coreopsis verticillata 'Route 66' P.P.# 20,609              ",Route 66 Tickseed (Cruizin' Series)                         ,PRN,,,,,,,,,,,,,,,,
OR,027961,COREOPSIS VERT MOONBEAM,Coreopsis verticillata 'Moonbeam'                           ,Moonbeam Threadleaf Tickseed                                ,PRN,,,,,,,,,,,,,,,,
OR,027962,COREOPSIS VERT MOONBEAM,Coreopsis verticillata 'Moonbeam'                           ,Moonbeam Threadleaf Tickseed                                ,PRN,,,,,,,,,,,,,,,,
OR,027971,COREOPSIS VERT ZAGREB,Coreopsis verticillata 'Zagreb'                             ,Zagreb Threadleaf Tickseed                                  ,PRN,,,,,,,,,,,,,,,,
OR,027972,COREOPSIS VERT ZAGREB,Coreopsis verticillata 'Zagreb'                             ,Zagreb Threadleaf Tickseed                                  ,PRN,,,,,,,,,,,,,,,,
OR,02797UT,COREOPSIS VERT ZAGREB,Coreopsis verticillata 'Zagreb'                             ,Zagreb Threadleaf Tickseed                                  ,PRN,,,,,,,,,,,,,,,,
OR,045281,CORNUS ALBA PRAIRIE FIRE AUREA,Cornus alba 'Prairie Fire'                                  ,Prairie Fire Dogwood                                        ,DCS,,,,,,,,,,,,,,,,
OR,027755,CORNUS ALBA SIBIRICA,Cornus alba 'Sibirica'                                      ,Red Twig Dogwood                                            ,DCS,,,,,,,,,,,,,,,,
OR,027825,CORNUS SERICEA ISANTI,Cornus sericea 'Isanti'                                     ,Isanti Red-Osier Dogwood                                    ,DCS,,,,,,,,,,,,,,,,
OR,027585,CORNUS X STELLAR PINK R,Cornus x 'Rutgan'                                           ,Stellar Pink®  Dogwood,TRE,,,,,,,,,,,,,,,,
OR,090462,COROKIA X VIR PHANTOM PP19257,"Corokia x virgata 'Phantom' P.P. #19,257                    ",Phantom Corokia                                             ,EVS,,,,,,,,,,,,,,,,
OR,028502,COT APICULATUS,Cotoneaster apiculatus                                      ,Cranberry Cotoneaster                                       ,DCS,,,,,,,,,,,,,,,,
OR,028552,COT APICULATUS TOM THUMB,Cotoneaster apiculatus 'Tom Thumb'                          ,Tom Thumb Cranberry Cotoneaster                             ,DCS,,,,,,,,,,,,,,,,
OR,02855UT,COT APICULATUS TOM THUMB,Cotoneaster apiculatus 'Tom Thumb'                          ,Tom Thumb Cranberry Cotoneaster                             ,DCS,,,,,,,,,,,,,,,,
OR,029001,COT DAM CORAL BEAUTY,Cotoneaster dammeri 'Coral Beauty'                          ,Coral Beauty Cotoneaster                                    ,EVS,,,,,,,,,,,,,,,,
OR,029002,COT DAM CORAL BEAUTY,Cotoneaster dammeri 'Coral Beauty'                          ,Coral Beauty Cotoneaster                                    ,EVS,,,,,,,,,,,,,,,,
OR,029005,COT DAM CORAL BEAUTY,Cotoneaster dammeri 'Coral Beauty'                          ,Coral Beauty Cotoneaster                                    ,EVS,,,,,,,,,,,,,,,,
OR,029101,COT DAM EICHHOLZ,Cotoneaster dammeri 'Eichholz'                              ,Eichholz Cotoneaster                                        ,EVS,,,,,,,,,,,,,,,,
OR,029102,COT DAM EICHHOLZ,Cotoneaster dammeri 'Eichholz'                              ,Eichholz Cotoneaster                                        ,EVS,,,,,,,,,,,,,,,,
OR,029455,COT HOR PERPUSILLUS,Cotoneaster horizontalis 'Perpusillus'                      ,Prostrate Rock Cotoneaster                                  ,EVS,,,,,,,,,,,,,,,,
OR,028311,COT HOR VARIEGATUS,Cotoneaster horizontalis 'Variegatus'                       ,Variegated Rock Cotoneaster                                 ,DCS,,,,,,,,,,,,,,,,
OR,030251,COT STREIB'S FINDLING,Cotoneaster dammeri 'Streibs Findling'                      ,Streibs Findling Cotoneaster                                ,EVS,,,,,,,,,,,,,,,,
OR,030252,COT STREIB'S FINDLING,Cotoneaster dammeri 'Streibs Findling'                      ,Streibs Findling Cotoneaster                                ,EVS,,,,,,,,,,,,,,,,
OR,030255,COT STREIB'S FINDLING,Cotoneaster dammeri 'Streibs Findling'                      ,Streibs Findling Cotoneaster                                ,EVS,,,,,,,,,,,,,,,,
OR,028145PT,COTINUS COG ROYAL PURPLE,Cotinus coggygria 'Royal Purple'                            ,Royal Purple Smoke Tree                                     ,DCS,,,,,,,,,,,,,,,,
OR,028155,COTINUS X GRACE,Cotinus x 'Grace'                                           ,Grace Smoke Tree                                            ,DCS,,,,,,,,,,,,,,,,
OR,057452,CROCOSMIA COLUMBUS,Crocosmia 'Columbus'                                        ,Columbus Montbretia                                         ,PRN,,,,,,,,,,,,,,,,
OR,019472,CROCOSMIA EMBERGLOW,Crocosmia 'Emberglow'                                       ,Emberglow Montbretia                                        ,PRN,,,,,,,,,,,,,,,,
OR,047572,CUP MAC DONARD GOLD,Cupressus macrocarpa 'Donard Gold'                          ,Donard Gold Monterey Cypress                                ,CON,,,,,,,,,,,,,,,,
OR,030732,CUP SEMP TINY TOWER R PP12933,"Cupressus sempervirens 'Monshel' P.P. #12,933 Tiny Tower{{#1",Tiny Tower®  Italian Cypress,CON,,,,,,,,,,,,,,,,
OR,031382,CYTISUS ALLGOLD,Cytisus x praecox (C. multiflorus x C. purgans) 'Allgold'   ,Allgold Broom                                               ,DCS,,,,,,,,,,,,,,,,
OR,025675,DAVIDIA INVOLUCRATA,Davidia involucrata                                         ,Dove Tree                                                   ,TRE,,,,,,,,,,,,,,,,
OR,097991,DELOS JWL OF DSRT GARNT P23471,"Delosperma cooperi 'Jewel of the Desert Garnet' P.P. #23,471",Jewel of Desert Garnet Ice Plant                            ,PRN,,,,,,,,,,,,,,,,
OR,084671,DELOS JWL OF DSRT RUBY P23453,"Delosperma cooperi 'Jewel of the Desert Ruby' P.P.#23,453   ",Jewel of the Desert Ruby Ice Plant                          ,PRN,,,,,,,,,,,,,,,,
OR,08467UT,DELOS JWL OF DSRT RUBY P23453,"Delosperma cooperi 'Jewel of the Desert Ruby' P.P.#23,453   ",Jewel of the Desert Ruby Ice Plant                          ,PRN,,,,,,,,,,,,,,,,
OR,098591,DELOS JWL OF DSRT TOPAZ P23492,"Delosperma cooperi 'Jewel of the Desert Topaz' P.P. #23,492 ",Jewel of the Desert Topaz Ice Plant                         ,PRN,,,,,,,,,,,,,,,,
OR,09859UT,DELOS JWL OF DSRT TOPAZ P23492,"Delosperma cooperi 'Jewel of the Desert Topaz' P.P. #23,492 ",Jewel of the Desert Topaz Ice Plant                         ,PRN,,,,,,,,,,,,,,,,
OR,034201,DELOSPERMA COOPERI,Delosperma cooperi                                          ,Hardy Ice Plant                                             ,PRN,,,,,,,,,,,,,,,,
OR,03420UT,DELOSPERMA COOPERI,Delosperma cooperi                                          ,Hardy Ice Plant                                             ,PRN,,,,,,,,,,,,,,,,
OR,048541,DELOSPERMA DY RED MOUNTAIN R,Delosperma dyeri 'Psdold'                                   ,Red Mountain®  Ice Plant,PRN,,,,,,,,,,,,,,,,
OR,078741,DELOSPERMA FIRE SPINNER R,Delosperma 'P001S'                                          ,Fire Spinner®  Ice Plant,PRN,,,,,,,,,,,,,,,,
OR,09723UT,DELOSPERMA FIRE WONDER PPAF,Delosperma 'Fire Wonder' P.P.A.F.                           ,Wheels of Wonder®  Fire Wonder Ice Plant,PRN,,,,,,,,,,,,,,,,
OR,059461,DELOSPERMA MESA VERDE PP13876,Delosperma 'Kelaidis' P.P.# 13876                           ,Mesa Verde®  Ice Plant,PRN,,,,,,,,,,,,,,,,
OR,05946UT,DELOSPERMA MESA VERDE PP13876,Delosperma 'Kelaidis' P.P.# 13876                           ,Mesa Verde®  Ice Plant,PRN,,,,,,,,,,,,,,,,
OR,029891S,DEUTZIA CHRDNY PERLS R PP16098,"Deutzia gracilis 'Duncan' P.P. #16,098, C.B.R. #2,640       ",Chardonnay Pearls®  Deutzia,DCS,,,,,,,,,,,,,,,,
OR,029892S,DEUTZIA CHRDNY PERLS R PP16098,"Deutzia gracilis 'Duncan' P.P. #16,098, C.B.R. #2,640       ",Chardonnay Pearls®  Deutzia,DCS,,,,,,,,,,,,,,,,
OR,086222S,DEUTZIA CREME FRAICHE TM,Deutzia gracilis                                            ,Creme Fraiche®  Deutzia,DCS,,,,,,,,,,,,,,,,
OR,031571,DEUTZIA GRACILIS NIKKO,Deutzia gracilis 'Nikko'                                    ,Dwarf Nikko Deutzia                                         ,DCS,,,,,,,,,,,,,,,,
OR,031572,DEUTZIA GRACILIS NIKKO,Deutzia gracilis 'Nikko'                                    ,Dwarf Nikko Deutzia                                         ,DCS,,,,,,,,,,,,,,,,
OR,031595,DEUTZIA HYBRIDA PINK-A-BOO R,Deutzia x 'Monzia'                                          ,Pink-A-Boo®  Deutzia,DCS,,,,,,,,,,,,,,,,
OR,091885,DEUTZIA X NIKKO BLUSH NA74356,Deutzia x rosea 'Nikko Blush' (NA74356)                     ,Nikko Blush Deutzia                                         ,DCS,,,,,,,,,,,,,,,,
OR,067631,DIANTHUS BAR OESCHBERG,Dianthus barbatus 'Oeschberg'                               ,Oeschberg Sweet William                                     ,PRN,,,,,,,,,,,,,,,,
OR,067731,DIANTHUS FIRST LOVE R,Dianthus First Love® ,First Love®  Cheddar Pink,PRN,,,,,,,,,,,,,,,,
OR,031331,DIANTHUS FROSTY FIRE,Dianthus x 'Frosty Fire'                                    ,Frosty Fire Cheddar Pink                                    ,PRN,,,,,,,,,,,,,,,,
OR,03133UT,DIANTHUS FROSTY FIRE,Dianthus x 'Frosty Fire'                                    ,Frosty Fire Cheddar Pink                                    ,PRN,,,,,,,,,,,,,,,,
OR,004801,DICENTRA BURNINGHEARTS PP20797,Dicentra 'Burning Hearts' P.P.A.F.                          ,Burning Hearts Bleeding Heart                               ,PRN,,,,,,,,,,,,,,,,
OR,004901,DICENTRA SP VALENTINE R P22739,"Dicentra spectabilis 'Hordival' P.P.#22,739                 ",Valentine®  Bleeding Heart,PRN,,,,,,,,,,,,,,,,
OR,004902,DICENTRA SP VALENTINE R P22739,"Dicentra spectabilis 'Hordival' P.P.#22,739                 ",Valentine®  Bleeding Heart,PRN,,,,,,,,,,,,,,,,
OR,035621,DICENTRA SPEC GOLD HEART,Dicentra spectabilis 'Gold Heart'                           ,Gold Heart Bleeding Heart                                   ,PRN,,,,,,,,,,,,,,,,
OR,035622,DICENTRA SPEC GOLD HEART,Dicentra spectabilis 'Gold Heart'                           ,Gold Heart Bleeding Heart                                   ,PRN,,,,,,,,,,,,,,,,
OR,410421,DIGITALIS FXLGT TM RBY GLW PAF,Digitalis x 'Ruby Glow' P.P.A.F.                            ,Foxlight Ruby Glow Foxglove                                 ,PRN,,,,,,,,,,,,,,,,
OR,021821,DISPOROPSIS PER SICHUAN JADE,Disporopsis pernyi 'Sichuan Jade'                           ,Sichuan Jade Solomon's Seal                                 ,PRN,,,,,,,,,,,,,,,,
OR,049832,DISPORUM CANT GREEN GIANT,Disporum longistylum 'Green Giant'                          ,Chinese Fairy Bells                                         ,PRN,,,,,,,,,,,,,,,,
OR,049835,DISPORUM CANT GREEN GIANT,Disporum longistylum 'Green Giant'                          ,Chinese Fairy Bells                                         ,PRN,,,,,,,,,,,,,,,,
OR,085821,DISPORUM CANT MOONLIGHT P24556,"Disporum cantoniense 'Moonlight' P.P.#24,556                ",Moonlight Chinese Fairy Bells                               ,PRN,,,,,,,,,,,,,,,,
OR,085822,DISPORUM CANT MOONLIGHT P24556,"Disporum cantoniense 'Moonlight' P.P.#24,556                ",Moonlight Chinese Fairy Bells                               ,PRN,,,,,,,,,,,,,,,,
OR,080762,DISPORUM CANT NIGHT HERON,Disporum cantoniense 'Night Heron'                          ,Night Heron Chinese Fairy Bells                             ,PRN,,,,,,,,,,,,,,,,
OR,050612,DRIMYS LANCEOLATA,Drimys lanceolata                                           ,Mountain Pepper                                             ,EVS,,,,,,,,,,,,,,,,
OR,050615,DRIMYS LANCEOLATA,Drimys lanceolata                                           ,Mountain Pepper                                             ,EVS,,,,,,,,,,,,,,,,
OR,412611,ECHIN DBL SCP TM CRANBRY PPAF,"Echinacea x purpurea 'Balscanery' P.P.# 24,769              ",Double Scoop™  Cranberry Echinacea,PRN,,,,,,,,,,,,,,,,
OR,097211,ECHIN SMBRO TM FLMNCO ORNG,Echinacea purpurea 'Flamenco Orange' P.P.A.F.               ,Sombrero™  Flamenco Orange Coneflower,PRN,,,,,,,,,,,,,,,,
OR,086821,ECHIN SMBRO TM HOT CORL P23097,"Echinacea x 'Balsomcor' P.P.#23,097                         ",Sombrero™  Hot Coral Coneflower,PRN,,,,,,,,,,,,,,,,
OR,086831,ECHIN SMBRO TM LEMON YLW PPAF,"Echinacea purpurea 'Lemon Yellow' P.P.# 24,768              ",Sombrero™  Lemon Yellow Coneflower,PRN,,,,,,,,,,,,,,,,
OR,086841,ECHIN SMBRO TM SALSA RD P23105,"Echinacea x 'Balsomsed' P.P.#23,105                         ",Sombrero™  Salsa Red Coneflower,PRN,,,,,,,,,,,,,,,,
OR,007051,ECHIN SUPREME CANTALOUPE PPAF,Echinacea 'Supreme Cantaloupe' P.P.A.F.                     ,Supreme Cantaloupe Coneflower                               ,PRN,,,,,,,,,,,,,,,,
OR,412621,ECHIN SUPREME FLAMINGO,"Echinacea purpurea 'Flamingo' P.P. 24,898                   ",Supreme™  Flamingo Echinacea,PRN,,,,,,,,,,,,,,,,
OR,407711,ECHIN VANILLA CUPCAKE,"Echinacea 'Vanilla Cupcake' P.P. 24,506                     ",Vanilla Cupcake™  Echinacea,PRN,,,,,,,,,,,,,,,,
OR,087021,ECHINACEA CHEYENNE SPIRIT,Echinacea hybrida 'Cheyenne Spirit'                         ,Cheyenne Spirit Echinacea                                   ,PRN,,,,,,,,,,,,,,,,
OR,022831,ECHINACEA CRNBRY CUPCAKE PPAF,Echinacea 'Cranberry Cupcake' P.P.A.F.                      ,Cranberry Cupcake Coneflower                                ,PRN,,,,,,,,,,,,,,,,
OR,077121,ECHINACEA NOW CHEESIER PPAF,Echinacea 'Now Cheesier' P.P.A.F.                           ,Now Cheesier Coneflower                                     ,PRN,,,,,,,,,,,,,,,,
