Loc,Order#,PO#,Item Number,Size,Plant Name,Plant Category,Zone,Common Name,Price Code,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Retail Price
OR,1488620,SPRING 2015                   ,054232,#2,KALMIA LAT MINUET,EVS,05,Minuet Mountain Laurel                                                                              ,, 5 , 17 , 285.60 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,052567,#7,LARIX KAEMPHERI DIANA,CON,04,Diana Japanese Larch                                                                                ,, 2 , 3 , 206.40 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,018327,#7,MALUS SARGENTII TINA,TRE,04,Tina Sargent Crabapple                                                                              ,, 2 , 9 , 313.20 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,404757,#7,MALUS X ROYAL RAINDROPS R,TRE,04,Royal Raindrops®  Flowering Crabapple                                                               ,, 2 , 10 , 348.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,064412,#2,PHILADELPHUS VIR DWF SNOWFLAKE,DCS,04,Dwarf Snowflake Mock Orange                                                                         ,, 5 , 9 , 102.60 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,405201,#1,PHLOX PAN BUBBLEGUM PINK,PRN,04,Candy Store®  Bubblegum Pink™  Phlox                                                                ,, 10 , 18 , 70.56 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,010631,#1,PHLOX PAN DAVID,PRN,04,David Garden Phlox                                                                                  ,, 10 , 18 , 70.56 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,034653,#3,PHYSOCARPUS CENTER GLOW P16894,DCS,02,Center Glow Ninebark                                                                                ,, 5 , 17 , 231.20 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,405263,#3,PHYSOCARPUS LTLE DEVIL TM PPAF,DCS,03,First Editions®  Little Devil™  Ninebark                                                            ,, 5 , 30 , 444.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,405267,#7,PHYSOCARPUS LTLE DEVIL TM PPAF,DCS,03,First Editions®  Little Devil™  Ninebark                                                            ,, 2 , 20 , 512.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,029943S,Super 3,PHYSOCARPUS SUMR WINE R P14821,DCS,03,Summer Wine®  Ninebark                                                                              ,, 5 , 6 , 82.80 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,064552,#2,PICEA ABIES LITTLE GEM,CON,02,Little Gem Norway Spruce                                                                            ,, 5 , 9 , 136.80 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,064575ST,#5 STAKED,PICEA ABIES PENDULA,CON,02,Weeping Norway Spruce                                                                               ,, 5 , 3 , 103.20 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,064621,#1,PICEA GL CONICA,CON,02,Dwarf Alberta Spruce                                                                                ,, 10 , 20 , 128.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,064622,#2,PICEA GL CONICA,CON,02,Dwarf Alberta Spruce                                                                                ,, 5 , 30 , 432.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,064623SP,#3 SPIRAL,PICEA GL CONICA,CON,02,Dwarf Alberta Spruce                                                                                ,,     , 10 , 252.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,033275,#5,PICEA GL DENSATA WELLS' WEEPER,CON,02,Wells' Weeper Spruce                                                                                ,, 5 , 5 , 166.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,065205,#5,PIERIS J MOUNTAIN FIRE,EVS,05,Mountain Fire Lily Of The Valley                                                                    ,, 5 , 20 , 584.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,065082,#2,PIERIS X FOREST FLAME,EVS,05,Forest Flame Lily Of The Valley                                                                     ,, 5 , 13 , 171.60 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,065085,#5,PIERIS X FOREST FLAME,EVS,05,Forest Flame Lily Of The Valley                                                                     ,, 5 , 7 , 142.80 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,049572,#2,PINUS MUGO JAKOBSEN,CON,03,Jakobsen Mugo Pine                                                                                  ,, 5 , 10 , 152.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,065452,#2,PINUS MUGO PUMILIO,CON,02,Dwarf Mugo Pine                                                                                     ,, 5 , 15 , 210.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,043397,#7,PRUNUS WEEPING EXTRAORDNARE TM,TRE,05,Weeping Extraordinaire™  Double Flowering Cherry                                                    ,, 2 , 10 , 424.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,06798MT,#10 Tall TREE,PRUNUS X FANTASIA NECTARINE,TRE,06,Fantasia Nectarine                                                                                  ,,     , 20 , 728.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,066937,#7,PRUNUS X SNOW FOUNTAIN TM,TRE,04,Snow Fountains®  Weeping Cherry                                                                     ,, 2 , 5 , 204.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,066937SE,#7 SERPENTINE,PRUNUS X SNOW FOUNTAIN TM,TRE,04,Snow Fountains®  Weeping Cherry                                                                     ,, 2 , 5 , 344.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,407509,#15,"PRUNUS X SNOW FOUNTAIN TM 36""",TRE,04,"SnowFountains®  Weeping Cherry 36""                                                                  ",, 1 , 10 , 732.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,020792S,SuperTwo,RHAMNUS FRA FINELINE R PP14791,DCS,02,Fine Line®  Fern Leaf Buckthorn                                                                     ,, 5 , 20 , 272.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,020793S,Super 3,RHAMNUS FRA FINELINE R PP14791,DCS,02,Fine Line®  Fern Leaf Buckthorn                                                                     ,, 5 , 20 , 276.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,009403,#3,RHOD (H-1) ENGLISH ROSEUM,RHO,04,English Roseum Rhododendron                                                                         ,, 5 , 1 , 16.40 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,00980M,#10 Squat,RHOD (H-1) P.J.M.,RHO,04,P.J.M. Rhododendron                                                                                 ,, 2 , 10 , 660.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,009805,#5,RHOD (H-1) P.J.M.,RHO,04,P.J.M. Rhododendron                                                                                 ,, 5 , 46 ," 1,306.40 ",     ,     ,     ,     
CT,1488621,SPRING 2015                   ,405801,#1,RHOD (H-1) PINK TREASURE TM,RHO,04,Pink Treasure Rhododendron                                                                          ,, 10 , 11 , 77.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,010052,#2,RHOD (H-1) RAMAPO,RHO,04,Ramapo Rhododendron                                                                                 ,, 5 , 30 , 420.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,010055,#5,RHOD (H-1) RAMAPO,RHO,04,Ramapo Rhododendron                                                                                 ,, 5 , 20 , 424.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,010153,#3,RHOD (H-1) ROSEUM ELEGANS,RHO,04,Roseum Elegans Rhododendron                                                                         ,, 5 , 5 , 82.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,020195,#5,RHOD (H-1) RTR MARCH MADNESS,RHO,04,March Madness Rhododendron                                                                          ,, 5 , 7 , 154.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,019745,#5,RHOD (H-1) RTR SLAM DUNK,RHO,04,Slam Dunk Rhododendron                                                                              ,, 5 , 5 , 110.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,070611,#1,SALIX INTEGRA HAKURO NISHIKI,DCS,04,Dappled Willow                                                                                      ,, 10 , 100 , 520.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,070612,#2,SALIX INTEGRA HAKURO NISHIKI,DCS,04,Dappled Willow                                                                                      ,, 5 , 100 ," 1,160.00 ",     ,     ,     ,     
OR,1488620,SPRING 2015                   ,070615PT,#5 PATIO TREE,SALIX INTEGRA HAKURO NISHIKI,DCS,04,Dappled Willow                                                                                      ,, 2 , 10 , 324.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,070617PT,#7 PATIO TREE,SALIX INTEGRA HAKURO NISHIKI,DCS,04,Dappled Willow                                                                                      ,, 2 , 10 , 432.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,004082,#2,SAMBUCUS N BLACK TOWER TM PPAF,DCS,04,Black Tower Elderberry                                                                              ,, 5 , 20 , 256.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,011982,#2,SPIRAEA JAP GOLDMOUND,DCS,04,Goldmound Spirea                                                                                    ,, 5 , 51 , 408.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,071572,#2,SPIRAEA JAP MAGIC CARPET P9363,DCS,04,Magic Carpet Spirea                                                                                 ,, 5 , 29 , 301.60 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,071302,#2,SPIRAEA NIPPON SNOWMOUND,DCS,04,Snowmound Spirea                                                                                    ,, 5 , 4 , 41.60 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,071615,#5,SPIRAEA X VAN RENAISSANCE,DCS,03,Renaissance Spirea                                                                                  ,, 5 , 20 , 336.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,074682S,SuperTwo,SYRINGA BLOOMERNG R PUR P20575,DCS,03,Bloomerang®  Purple Lilac                                                                           ,, 5 , 40 , 560.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,406815,#5,SYRINGA SGR PLM FAIRY R P15588,DCS,03,Sugar Plum Fairy®  Lilac                                                                            ,, 5 , 30 , 564.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,406923,#3,SYRINGA V TINY DANCER TM,DCS,03,Tiny Dancer™  Lilac                                                                                 ,, 5 , 50 , 710.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,072342,#2,TAXUS EMERALD SPREADR R P10335,CON,04,Emerald Spreader®  Japanese Yew                                                                     ,, 5 , 30 , 360.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,012599,#15,THUJA GREEN GIANT,CON,04,Green Giant Western Arborvitae                                                                      ,, 1 , 5 , 328.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,072942,#2,THUJA OC DANICA,CON,04,Danica Arborvitae                                                                                   ,, 5 , 17 , 190.40 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,07281M,#10 Squat,THUJA OC DEGROOT'S SPIRE,CON,03,Degroot's Spire Arborvitae                                                                          ,, 2 , 5 , 220.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,072815,#5,THUJA OC DEGROOT'S SPIRE,CON,03,Degroot's Spire Arborvitae                                                                          ,, 5 , 19 , 334.40 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,072835PT,#5 PATIO TREE,THUJA OC FILIFORMIS,CON,04,Weeping Threadleaf Arborvitae                                                                       ,, 2 , 5 , 236.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,047441,#1,THUJA OC FIRE CHIEF TM P19009,CON,04,Fire Chief™  Globe Arborvitae                                                                       ,, 10 , 7 , 39.20 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,047445PT,#5 PATIO TREE,THUJA OC FIRE CHIEF TM P19009,CON,04,Fire Chief™  Globe Arborvitae                                                                       ,, 2 , 4 , 195.20 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,055971,#1,THUJA OC GOLDEN TUFFET,CON,03,Golden Tuffet Arborvitae                                                                            ,, 10 , 9 , 45.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,053932,#2,THUJA OC HIGHLIGHTS TM PP21967,CON,05,Highlights™  Arborvitae                                                                             ,, 5 , 20 , 248.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,019455,#5,THUJA PLICATA SUNSHINE,CON,05,Sunshine Western Red Cedar                                                                          ,, 5 , 10 , 176.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,055145,#5,THUJA X EMBER WAVES TM PPAF,CON,05,Ember Waves™  Western Arborvitae                                                                    ,, 5 , 10 , 192.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,07343M,#10 Squat,TSUGA CAN EMERALD FOUNTAIN R,CON,04,Emerald Fountain®  Canadian Hemlock                                                                 ,, 2 , 15 , 756.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,073265,#5,TSUGA CANADENSIS,CON,04,Canadian Hemlock                                                                                    ,, 5 , 20 , 376.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,075105,#5,VIB OPULUS STERILE,DCS,03,Eastern Snowball                                                                                    ,, 5 , 20 , 328.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,073972,#2,VIB PLI T SUMMER SNOWFLAKE,DCS,05,Summer Snowflake Viburnum                                                                           ,, 5 , 13 , 166.40 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,073975,#5,VIB PLI T SUMMER SNOWFLAKE,DCS,05,Summer Snowflake Viburnum                                                                           ,, 5 , 12 , 211.20 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,073585,#5,VIB X BODNAN PINK DAWN,DCS,05,Pink Dawn Viburnum                                                                                  ,, 5 , 6 , 98.40 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,076392,#2,WEIGELA FL DARK HORSE PP14381,DCS,04,Dark Horse Weigela                                                                                  ,, 5 , 68 , 788.80 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,076395,#5,WEIGELA FL DARK HORSE PP14381,DCS,04,Dark Horse Weigela                                                                                  ,, 5 , 21 , 352.80 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,075082S,SuperTwo,WEIGELA FL GHOST TM PP20025,DCS,04,Ghost™  Weigela                                                                                     ,, 5 , 10 , 136.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,077513S,Super 3,WEIGELA FL SPILLED WINE TM PAF,DCS,04,Spilled Wine™  Weigela                                                                              ,, 5 , 51 , 724.20 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,077515,#5,WEIGELA FL SPILLED WINE TM PAF,DCS,04,Spilled Wine™  Weigela                                                                              ,, 5 , 24 , 441.60 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,076562S,SuperTwo,WEIGELA FL WINE&ROSES R P10772,DCS,04,Wine & Roses®  Weigela                                                                              ,, 5 , 68 , 924.80 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,076562S,SuperTwo,WEIGELA FL WINE&ROSES R P10772,DCS,04,Wine & Roses®  Weigela                                                                              ,, 5 , 40 , 544.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,407353,#3,WEIGELA SHNG SENSATION TM PPAF,DCS,04,First Editions®  Shining Sensation Weigela                                                          ,, 5 , 30 , 408.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,080942S,SuperTwo,WEIGELA SONIC BLOOM TM PNK PAF,DCS,04,Sonic Bloom™  Pink Reblooming Weigela                                                               ,, 5 , 22 , 316.80 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,080943S,Super 3,WEIGELA SONIC BLOOM TM PNK PAF,DCS,04,Sonic Bloom™  Pink Reblooming Weigela                                                               ,, 5 , 40 , 568.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,080933S,Super 3,WEIGELA SONIC BLOOM TM RED PAF,DCS,04,Sonic Bloom™  Red Reblooming Weigela                                                                ,, 5 , 50 , 710.00 ,     ,     ,     ,     
,,,,,Totals:,,,,,," 4,823 "," 76,109.92 ",,,,
