Item#,Item Description
025317,CERCOCARPUS LEDIFOLIUS
020731,CHAENOMELES SCARFF'S RED
020732,CHAENOMELES SCARFF'S RED
020735,CHAENOMELES SCARFF'S RED
031375P2,CHAM - THUJA GOLD/GREEN
03709RC,CHAM OBT FERNSPRAY GOLD
037092,CHAM OBT FERNSPRAY GOLD
048502,CHAM OBT FILICOIDES AUREA
048505,CHAM OBT FILICOIDES AUREA
048501,CHAM OBT FILICOIDES AUREA
02300M,CHAM OBT GRACILIS SELCTN
401802,CHAM OBT NIGHT LIGHT TM
401805,CHAM OBT NIGHT LIGHT TM
401802LR,CHAM OBT NIGHT LIGHT TM
038522,CHAM OBT WINTER GREEN
058632LR,CHAM PIS FILIFERA AUREA
05863MLR,CHAM PIS FILIFERA AUREA
058635LR,CHAM PIS FILIFERA AUREA
401813,CHAM PIS PAUL'S GOLD
401812,CHAM PIS PAUL'S GOLD
401813LR,CHAM PIS PAUL'S GOLD
03708RC,CHAM PIS SQ (WHITE TIP SPORT)
03708RP,CHAM PIS SQ (WHITE TIP SPORT)
037081,CHAM PIS SQ (WHITE TIP SPORT)
014412LR,CHAM PIS VINTAGE GOLD
014415LR,CHAM PIS VINTAGE GOLD
020754P,CHAM PISIFERA
40178RND,CHAMAEMELUM (USE #40005)
40005RND,CHAMAEMELUM FLORE PLENO
022875,CHAMELAUCIUM CASCADE BROOK TM
022885,CHAMELAUCIUM CASCADE JEWEL TM
022905,CHAMELAUCIUM CASCADE MIST TM
022925,CHAMELAUCIUM PURPLE PRIDE TM
022915,CHAMELAUCIUM UNC NOEL TM
022955,CHAMELAUCIUM UNC SILK TM
067601,CHELONE LYONII PINK TEMPTATION
09172BY9,CHILOPSIS SWEET KATIE BURGUNDY
07063RP,CHIRANTHOM LEN FALLING STARS
07798RP,CHORIZEMA CORDATUM
412561,CHRY (LEU) REAL CHARMER PPAF
412571,CHRY (LEU) REAL GALAXY PPAF
404471,CHRY (LEUCA) DASY MY TM P21914
404511S,CHRY (LEUCA) X GOLD DUST PPAF
407852,CHRY (LEUCA) X LITTLE PRINCESS
407861S,CHRY (LEUCA) X REAL GLORY
407861,CHRY (LEUCA) X REAL GLORY
404491,CHRY (LEUCA) X S SCHNEEHURKEN
404501,CHRY (LEUCA) X SILVER PRINCESS
404501LR,CHRY (LEUCA) X SILVER PRINCESS
404522,CHRY (LEUCA) X SUP MONTAUK
404522LR,CHRY (LEUCA) X SUP MONTAUK
40159UT,CHRYS (LEUCANTH) X FREAK PPAF
009172,CHRYS (LEUCANTH) X SUP ALASKA
404481,CHRYS (LEUCANTH) X SUP SANTE
40182UT,CHRYSOGONIUM VIR PIERRE
40182UTLR,CHRYSOGONIUM VIR PIERRE
07558E,CINNAMOMUM ZEYLANICUM
02480PS,CITRUS CARRIZO CITRANGE
024801,CITRUS CARRIZO CITRANGE
02640PS,CITRUS RUBIDOUX
066435,CITRUS SEEDLESS KISHU MANDARIN
066432,CITRUS SEEDLESS KISHU MANDARIN
066432LR,CITRUS SEEDLESS KISHU MANDARIN
02705PS,CITRUS TRI FLYING DRAGON
090721,CLEM ALPINA
090721S,CLEM ALPINA
056195,CLEM ARMANDII APPLEBLOSSOM
056191,CLEM ARMANDII APPLEBLOSSOM
08270RP,CLEM ARMANDII RUBRA
048041,CLEM CENTER STAR TM PP17010
038095,CLEM DANIELA DERONDA
04319RP,CLEM HERACLEIFOLIA 25020
04320RP,CLEM HERACLEIFOLIA 25021
04321RP,CLEM HERACLEIFOLIA 25025
046255,CLEM LOUISE ROWE
046252,CLEM LOUISE ROWE
02735RP,CLEM MACROPETALA BLUE JAY
02739RP,CLEM SER GOLDN TIARA TM P10952
038045,CLEM VERONICA'S CHOICE
044222,CLEM X ANGELIQUE TM
044221,CLEM X ANGELIQUE TM
044232,CLEM X ARCTIC QUEEN TM PP10167
033561,CLEM X BLUE PIROUETTE PAF
033562,CLEM X BLUE PIROUETTE PAF
044262,CLEM X CRYSTAL FOUNTAIN TM
044261,CLEM X CRYSTAL FOUNTAIN TM
033541,CLEM X FASCINATION PP14770
033542,CLEM X FASCINATION PP14770
044272,CLEM X FRANSIZKA MARIA TM
033571,CLEM X HENDRYETTA PAF
033572,CLEM X HENDRYETTA PAF
033631,CLEM X INSPIRATION PP14054
033632,CLEM X INSPIRATION PP14054
033551,CLEM X JAN FOPMA PAF
033552,CLEM X JAN FOPMA PAF
033581,CLEM X PRETTY IN BLUE PAF
033582,CLEM X PRETTY IN BLUE PAF
02709RP,CLEM X WADA'S PRIMROSE
045795,CLEM X WILLIAM KENNETT
046285,CLEM X 01-04-13
022431,CLEMATIS INT BLUE RIBBONS
052105,CLEMATIS UNCINATA (7019)
027523LR,CLETHRA ALN HUMMINGBIRD
027533LR,CLETHRA ALN RUBY SPICE
055531,CLETHRA BARBINERVIS VARIEGATA
055535,CLETHRA BARBINERVIS VARIEGATA
055532,CLETHRA BARBINERVIS VARIEGATA
05347PS,CLIANTHUS PUNICEUS
05347RP,CLIANTHUS PUNICEUS
05326PS,CLIANTHUS PUNICEUS ALBUS
05326RP,CLIANTHUS PUNICEUS ALBUS
05327PS,CLIANTHUS PUNICEUS ROSEA
05327RP,CLIANTHUS PUNICEUS ROSEA
03045RP,CLIVIA BELG HYB GOLDEN DRAGON
030451,CLIVIA BELG HYB GOLDEN DRAGON
030452,CLIVIA BELG HYB GOLDEN DRAGON
030455,CLIVIA BELG HYB GOLDEN DRAGON
03858RP,CLIVIA MIN VARIEGATA
038581,CLIVIA MIN VARIEGATA
401843,COLOCASIA ESC MOJITO
401863,COLOCASIA HYB BIKINI-TINI
401883,COLOCASIA LEMON-LIME GECKO
04792M,CONIFER TOPIARY MIX
04792Z,CONIFER TOPIARY MIX
093812,COPROSMA EVENING GLOW (SELECT)
092625,COPROSMA FIRE BURST
03844F,CORD FEST GRASS/HCHA LIME RICK
084531,CORD FESTIVAL TM LIME PPAF
08453RP,CORD FESTIVAL TM LIME PPAF
075251,CORD FESTIVAL TM RASPBERRY PAF
075252,CORD FESTIVAL TM RASPBERRY PAF
07525RP,CORD FESTIVAL TM RASPBERRY PAF
056545,CORDYLINE AUSTRALIS
092741S,CORDYLINE CHOCOLATE MINT PPAF
048881,CORDYLINE EMRLD GRN *USE 09272
018401,CORE CRUZIN' TM BROAD STRT PAF
018421,CORE CRUZIN' TM ELCTRC AVE PAF
018411,CORE CRUZIN' TM MAIN STRT PAF
408551,CORE LIL' BANG TM DAYBREAK PAF
408541,CORE LIL' BANG TM RED ELF
408531,CORE LIL' BANG TM STARLIGHT
401911S,COREOPSIS DAZZLESTAR PPAF
407641,COREOPSIS LITTLE SUNDIAL
407631,COREOPSIS PRESTO
401921S,COREOPSIS STAR CLUSTER
004342,COREOPSIS VERT GOLDEN SHOWERS
027964PTC,COREOPSIS VERT MOONBEAM
027971LR,COREOPSIS VERT ZAGREB
03601P40,COREOPSIS X (BOWLING BALL)
036011,COREOPSIS X (BOWLING BALL)
40006RND,CORIANDRUM SATIVUM
400061,CORIANDRUM SATIVUM
401945,CORNUS ALBA BUD'S YELLOW
401945LR,CORNUS ALBA BUD'S YELLOW
401953,CORNUS ALBA CHERRY VODKA TM
401953LR,CORNUS ALBA CHERRY VODKA TM
401963,CORNUS ALBA CREME DE MINT
401983,CORNUS ALBA VARIEGATED
401983LR,CORNUS ALBA VARIEGATED
401985LR,CORNUS ALBA VARIEGATED
030401,CORNUS FL CHEROKEE CHIEF
030405,CORNUS FL CHEROKEE CHIEF
030407,CORNUS FL CHEROKEE CHIEF
03040M,CORNUS FL CHEROKEE CHIEF
02438PS,CORNUS FL GOLD BRAID PPAF
02438P40,CORNUS FL GOLD BRAID PPAF
024383P,CORNUS FL GOLD BRAID PPAF
401993LR,CORNUS GOLDEN SHADOWS P11287
402007,CORNUS KOUSA HEART THROB R
402007LR,CORNUS KOUSA HEART THROB R
402027,CORNUS KOUSA SUMMER FUN PPAF
402027LR,CORNUS KOUSA SUMMER FUN PPAF
075695,CORNUS KOUSA SUMMER GOLD PPAF
07569M,CORNUS KOUSA SUMMER GOLD PPAF
077325,CORNUS MAS GOLDEN GLORY
077327,CORNUS MAS GOLDEN GLORY
034315,CORNUS NUTTALLII
03245P40,CORNUS SER SILVER & GOLD
402033,CORNUS SERICEA BAILEYI
402033LR,CORNUS SERICEA BAILEYI
402035LR,CORNUS SERICEA BAILEYI
402045,CORNUS STO NEIL
026525,CORNUS X HYPERION R PPAF
02652M,CORNUS X HYPERION R PPAF
081265,CORNUS X VAR STLLAR PNK TM PAF
08126M,CORNUS X VAR STLLAR PNK TM PAF
08411RP,CORREA PULCHELLA PINK FLAMINGO
402053,CORYLUS AMERICANA
402055,CORYLUS AMERICANA
028207PT,CORYLUS AV CONTORTA
402067PT,CORYLUS AV RED DRAGON
402065,CORYLUS AV RED DRAGON
031425,CORYLUS AV RED MAJESTIC PAF
031427,CORYLUS AV RED MAJESTIC PAF
028193P,CORYLUS AVELLANA
028243P,CORYLUS COLLURNA
09375PS,COSMOS COCO CHANNEL PPAF
02840P40,COT AD PRAECOX
402073,COT HOR HESSEI
074161,COTYLEDON ORB SILVER CLOUD
069201,COTYLEDON ORBICULATA
078231,CRASSULA CLAVATA
055842,CROCOSMIA-ASSORTED
089392,CROSSANDRA ORANGE MARMALADE
089402,CROSSANDRA RED MARMALADE
402092,CRYPTOMERIA J CHAPEL VIEW
402092LR,CRYPTOMERIA J CHAPEL VIEW
03038RC,CUP AR PLANT SELECT R
03055TP,CUP GLABRA
02064M,CUP NOOT NANA (CHAM N NANA)
02064RP,CUP NOOT NANA (CHAM N NANA)
020641,CUP NOOT NANA (CHAM N NANA)
020645,CUP NOOT NANA (CHAM N NANA)
046301,CUPHEA LLAVEA PINK SELECT
04630RP,CUPHEA LLAVEA PINK SELECT
08412RP,CUPHEA MICROPETALA
084121,CUPHEA MICROPETALA
08413RP,CUPHEA X DAVID VERITY
40210UT,CYCLAMEN CO SILVER FORM
402101,CYCLAMEN CO SILVER FORM
03126RP,CYTISUS AMBER ELF PPAF
031261,CYTISUS AMBER ELF PPAF
031262,CYTISUS AMBER ELF PPAF
031263P,CYTISUS AMBER ELF PPAF
031265,CYTISUS AMBER ELF PPAF
031402LR,CYTISUS MOONLIGHT
402122,CYTISUS PUR ANDORRA
402122LR,CYTISUS PUR ANDORRA
048531,CYTISUS PUR SPANISH GOLD R
048532,CYTISUS PUR SPANISH GOLD R
402151S,DAH XXL AZTEC TM HIDALGO R PAF
402161S,DAH XXL AZTEC TM MAYO R PPAF
025331,DALEA PULCHRA
025332,DALEA PULCHRA
03151RC,DAPHNE CNEORUM
031513P,DAPHNE CNEORUM
019291,DAPHNE LAWRENCE CROCKER
019292,DAPHNE LAWRENCE CROCKER
039681,DAPHNE MOONLIGHT PARFAIT R PAF
035821,DAPHNE OD MAEJIMA
035822,DAPHNE OD MAEJIMA
035821S,DAPHNE OD MAEJIMA
035823,DAPHNE OD MAEJIMA
049822,DAPHNE X HOUT FEBRUARY PLUM
049825,DAPHNE X HOUT FEBRUARY PLUM
049821,DAPHNE X HOUT FEBRUARY PLUM
048065,DAPHNE X NAPOLITANA
068312,DAPHNE X TRANSATL SUMMER ICE
072065,DAPHNIPHYLLUM MACRO HC 97
025673P,DAVIDIA INVOLUCRATA
025675,DAVIDIA INVOLUCRATA
021811,DAVIDIA INVOLUCRATA SONOMA
021813P,DAVIDIA INVOLUCRATA SONOMA
021815,DAVIDIA INVOLUCRATA SONOMA
097991,DELOS JWL OF DSRT GARNT P23471
097981,DELOS JWL OF DSRT MNSTN P23491
098531,DELOS JWL OF DSRT PERIDOTT PAF
098591,DELOS JWL OF DSRT TOPAZ P23492
09859BYUC,DELOS JWL OF DSRT TOPAZ P23492
09859UT,DELOS JWL OF DSRT TOPAZ P23492
097231,DELOSPERMA FIRE WONDER PPAF
09723UT,DELOSPERMA FIRE WONDER PPAF
40149UT,DELOSPERMA FLOR STARBURST
06772UT,DELOSPERMA KELAIDIS PP13876
06772RND,DELOSPERMA KELAIDIS PP13876
00458P32,DELPHINIUM EL MAGIC DARK BLUE
407661,DELPHINIUM EL PINK PUNCH
407651,DELPHINIUM GRAN SUMMER MORNING
401501,DELPHINIUM GRAN SUMMER NIGHTS
40150UT,DELPHINIUM GRAN SUMMER NIGHTS
004594PTC,DELPHINIUM GRAND BLUE MIRROR
402202,DELPHINIUM HYB PAGAN PURPLES
402201,DELPHINIUM HYB PAGAN PURPLES
402211,DELPHINIUM ROYAL ASPIRATIONS
086222S,DEUTZIA CREME FRAICHE TM
031573LR,DEUTZIA GRACILIS NIKKO
091867,DEUTZIA NA74354
091861,DEUTZIA NA74354
091877,DEUTZIA NA74355
091871,DEUTZIA NA74355
05220PS,DEUTZIA PULCHRA (7034)
05220RP,DEUTZIA PULCHRA (7034)
052211,DEUTZIA PULCHRA (7046)
05222PS,DEUTZIA TAIWANENSIS (7079)
05222RP,DEUTZIA TAIWANENSIS (7079)
402243,DEUTZIA YUKI SNOWFLAKE TM PPAF
402243S,DEUTZIA YUKI SNOWFLAKE TM PPAF
402271S,DIAN SCENT FIRST R PASN P20440
402271SLR,DIAN SCENT FIRST R PASN P20440
402281S,DIAN SCNT FST TM CRL RF P19660
402281SLR,DIAN SCNT FST TM CRL RF P19660
402291S,DIAN SCNT FST TM SGR PL P21398
06498RP,DIANELLA PRUNINA #21
098524P,DIANELLA TA RAINBOW TWIST PPAF
098521,DIANELLA TA RAINBOW TWIST PPAF
09852RP,DIANELLA TA RAINBOW TWIST PPAF
090221,DIANTHUS COSMIC TM PK SWRL PAF
090211,DIANTHUS COSMIC TM RD SWRL PAF
40151UT,DIANTHUS DELTOIDES VAMPIRE
40151RND,DIANTHUS DELTOIDES VAMPIRE
40151RNDLR,DIANTHUS DELTOIDES VAMPIRE
40225UT,DIANTHUS ESTERN STAR TM P14437
402251,DIANTHUS ESTERN STAR TM P14437
402251LR,DIANTHUS ESTERN STAR TM P14437
40226UT,DIANTHUS RACHEL
03147UT,DIANTHUS TINY RUBIES
03147RND,DIANTHUS TINY RUBIES
03147RNDLR,DIANTHUS TINY RUBIES
402301,DICENTRA IVORY HEARTS P15599
068273,DIERVILLA SES COOL SPLASH
068273LR,DIERVILLA SES COOL SPLASH
09480P72,DIETES ROGER KOBATA
090241,DIGIPLEXIS ILLUMINATION FLAME
018581,DIGITALIS PUR CANDY MOUNTAIN
085822,DISPORUM CANT MOONLIGHT P24556
085821,DISPORUM CANT MOONLIGHT P24556
08582UT,DISPORUM CANT MOONLIGHT P24556
097892S,DISTYLIUM BLUE CASCADE R PPAF
097902S,DISTYLIUM EMRLD HEIGHTS R PPAF
09182RP,DO NOT USE- USE #09142
091821,DO NOT USE- USE #09142
049852,DRIMYS HYB-WINDCLIFF RED STEM
063441,ECHEVERIA AFTERGLOW
079151,ECHEVERIA DERENBERGII
40232UT,ECHEVERIA ELEGANS BLUE
40233UT,ECHEVERIA ELEGANS GRAY RED
073801,ECHEVERIA GIBBIFLORA METALLICA
073822,ECHEVERIA HAAGI TOLIMAENSIS
07382UT,ECHEVERIA HAAGI TOLIMAENSIS
073812,ECHEVERIA ROUNDLEAF
022281S,ECHIN 'MARMALADE' PPAF
402421S,ECHIN AVALANCHE PP18597
402431S,ECHIN BUTTERFLY KISSES PPAF
407681S,ECHIN CINNAMON CUPCAKE
407691S,ECHIN CLEOPATRA
402341S,ECHIN CORAL PINK CHARGE
402361,ECHIN DBL SCP TM BBLGM PP23103
412611,ECHIN DBL SCP TM CRANBRY PPAF
402351,ECHIN DBL SCP TM RSPBRY P23117
402351LR,ECHIN DBL SCP TM RSPBRY P23117
402371S,ECHIN DEEP PINK PIZAZZ TM
402381S,ECHIN GOLDEN DAZZLE
402391S,ECHIN HOT SUMMER R PP20687
407701S,ECHIN JULIA
03831P72,ECHIN PXIE MEADWBRITE TM VARIG
038311S,ECHIN PXIE MEADWBRITE TM VARIG
097211,ECHIN SMBRO TM FLMNCO ORNG
086821,ECHIN SMBRO TM HOT CORL P23097
402401S,ECHIN SMBRO TM HOT PINK PPAF
086831,ECHIN SMBRO TM LEMON YLW PPAF
086841,ECHIN SMBRO TM SALSA RD P23105
402411S,ECHIN TANGERINE THRILL
407711S,ECHIN VANILLA CUPCAKE
407711,ECHIN VANILLA CUPCAKE
035731,ECHINACEA GREEN ENVY PPAF
035731S,ECHINACEA GREEN ENVY PPAF
051555,ECHINACEA PUR BRIGHT STAR-SEL
033672LR,ECHINACEA PUR WHITE SWAN
407722,ECHINACEA RED KNEE HIGH
069241,ECHINOCEREUS TRIG INERMIS
046971,ECHIUM RUSSICUM
046971LR,ECHIUM RUSSICUM
070145,EMBOTHRIUM COCCINEUM
070142,EMBOTHRIUM COCCINEUM
08502RP,EPHEDRA CALIFORNICA
402441S,EPIMEDIUM GRAND LILAFEE
071481,EREMOPHILA HYGRO BLUE BELLS TM
40245UT,ERIGERON SCOP SUNNYSIDE UP
03217P72,ERINUS ALPINUS
032174P,ERINUS ALPINUS
057841,ERIOGONUM GRANDE RUBESCENS
40154UT,ERODIUM REICHARDII ALBUM
40154RND,ERODIUM REICHARDII ALBUM
40152UT,ERODIUM X BISHOP'S FORM
40152RND,ERODIUM X BISHOP'S FORM
40153UT,ERODIUM X FLORE PLENO
40153RND,ERODIUM X FLORE PLENO
080521,ERYSIMUM HYB VARIEGATUM
40247UT,ERYSIMUM KOTS ORANGE DREAM
40248UT,ERYSIMUM KOTS ORANGE FLAME
40246UT,ERYSIMUM KOTSCHYANUM
004174P,EUCOMIS SPP B1
004254P,EUCOMIS SPP P1
004274P,EUCOMIS SPP R1
050725,EUCRYPHIA LUC SPRING CREAM
050722,EUCRYPHIA LUC SPRING CREAM
05073P40,EUCRYPHIA X NYMANSENSIS
091271,EUGENIA MYR TNE GNE RED SELECT
06537RP,EUGENIA SYZGIUM-AUST BIG RED
080852S,EUO F GOLDY TM PPAF
03442P40,EUO F HARLEQUIN
034422,EUO F HARLEQUIN
402492,EUO J GOLDEN FLAIR PPAF
402502,EUPATORIUM MAC BABY JOE
402501,EUPATORIUM MAC BABY JOE
068111,EUPHORBIA ASCOT RAINBOW PPAF
402512,EUPHORBIA HYB BONFIRE
071502,EUPHORBIA PUNICEA
071501,EUPHORBIA PUNICEA
087323,EXOCHORDA SNOW MOUNTAIN PPAF
402533S,EXOCHORDA SNW DY R BLZZRD PPAF
035845,FAGUS SYL PURPUREA SEEDLING
03575TP,FAGUS SYL SEEDLING
035753P,FAGUS SYL SEEDLING
03580TP,FAGUS SYLVATICA MATT
045641,FATSHEDERA LIZ AUREOVARIEGATA
045642,FATSHEDERA LIZ AUREOVARIEGATA
047202,FATSIA JAPONICA VARIEGATA
04720M,FATSIA JAPONICA VARIEGATA
09769RP,FERN-ANEMIA MEXICANA
097691,FERN-ANEMIA MEXICANA
400851S,FERN-ATHY NIP WILDWOOD TWIST
40083UT,FERN-ATHYRIUM F FRIZELLIAE
40083UTLR,FERN-ATHYRIUM F FRIZELLIAE
400841,FERN-ATHYRIUM F VICTORIAE
09770RP,FERN-BLECHNUM GIB SILVER LADY
097701,FERN-BLECHNUM GIB SILVER LADY
097703P,FERN-BLECHNUM GIB SILVER LADY
07776RP,FERN-DRYOPTERIS KOIDZUMIANA
077761,FERN-DRYOPTERIS KOIDZUMIANA
404801S,FERN-MATTEUCCIA STRU THE KING
404802,FERN-MATTEUCCIA STRU THE KING
404801,FERN-MATTEUCCIA STRU THE KING
09764RP,FERN-MICROLEPIA STRIGOSA
097641,FERN-MICROLEPIA STRIGOSA
097642,FERN-MICROLEPIA STRIGOSA
097643P,FERN-MICROLEPIA STRIGOSA
09771RP,FERN-MICROSORUM SCOLOPENDRIA
097711,FERN-MICROSORUM SCOLOPENDRIA
09761RP,FERN-NEPHROLEPIS CD CALIFORNIA
097611,FERN-NEPHROLEPIS CD CALIFORNIA
097613P,FERN-NEPHROLEPIS CD CALIFORNIA
09762RP,FERN-NEPHROLEPIS CD DUFFI
097621,FERN-NEPHROLEPIS CD DUFFI
097623P,FERN-NEPHROLEPIS CD DUFFI
09767RP,FERN-NEPHROLEPIS EMERALD VASE
097671,FERN-NEPHROLEPIS EMERALD VASE
036301,FERN-NEPHROLEPIS EXALTATA
09766RP,FERN-ONYCHIUN JAPONICUM
097661,FERN-ONYCHIUN JAPONICUM
097663P,FERN-ONYCHIUN JAPONICUM
404922,FERN-OSMUNDA REG SPECTABILIS
028181,FERN-PELLAEA ROTUNDIFOLIA
02818RP,FERN-PELLAEA ROTUNDIFOLIA
028183P,FERN-PELLAEA ROTUNDIFOLIA
09765RP,FERN-POLYPODIUM VRGNIA BLUE TM
097651,FERN-POLYPODIUM VRGNIA BLUE TM
097653P,FERN-POLYPODIUM VRGNIA BLUE TM
09768RP,FERN-POLYSTICHUM XIPHOPHYLLUM
097681,FERN-POLYSTICHUM XIPHOPHYLLUM
08504RP,FERN-PTERIDIUM AQUIL PUBESCENS
09763RP,FERN-RUMOHRA ADIANT IBERIA
097631,FERN-RUMOHRA ADIANT IBERIA
097633P,FERN-RUMOHRA ADIANT IBERIA
043342,FERN-WOODWARDIA ORIENT CRESTED
097604PM,FERN-WOODWARDIA UNIGEMMATA
097602,FERN-WOODWARDIA UNIGEMMATA
03675RP,FICUS BENJAMINA
070295,FICUS CAR DESERT KING
070294PM,FICUS CAR DESERT KING
40007RND,FOENICULUM VULGARE RUBRUM
02086P40,FORSYTHIA GOLDEN TIMES
020861,FORSYTHIA GOLDEN TIMES
402603S,FORSYTHIA SHWOF R SUGR BBY PAF
402603SLR,FORSYTHIA SHWOF R SUGR BBY PAF
402613,FORSYTHIA SUSPENSA SIEBOLDII
03716P40,FORSYTHIA X FIESTA PP7523
03716RP,FORSYTHIA X FIESTA PP7523
402593,FORSYTHIA X MEADOWLARK
402593LR,FORSYTHIA X MEADOWLARK
08383P40,FORSYTHIA X NORTHERN GOLD
03141M,FOTHERGILLA MAJ BLU SHADOW PAF
031413,FOTHERGILLA MAJ BLU SHADOW PAF
031413LR,FOTHERGILLA MAJ BLU SHADOW PAF
031415,FOTHERGILLA MAJ BLU SHADOW PAF
40773UT,FRAGARIA CHILOENSIS
40263FLT,FRAGARIA X ANA ALLSTAR
40263FLTLR,FRAGARIA X ANA ALLSTAR
402631,FRAGARIA X ANA ALLSTAR
40264FLT,FRAGARIA X ANA CABOT
40264FLTLR,FRAGARIA X ANA CABOT
402641,FRAGARIA X ANA CABOT
40265FLT,FRAGARIA X ANA EARLIGLOW
40265FLTLR,FRAGARIA X ANA EARLIGLOW
402651,FRAGARIA X ANA EARLIGLOW
40262RND,FRAGARIA X ANA LORAN
09591UT,FRAGARIA X ANA ORUS 2151-2
09592UT,FRAGARIA X ANA ORUS 2151-3
09593UT,FRAGARIA X ANA ORUS 2153-1
09594UT,FRAGARIA X ANA ORUS 2153-5
09595UT,FRAGARIA X ANA ORUS 2224-4
09596UT,FRAGARIA X ANA ORUS 3233-1
09547RND,FRAGARIA X ANA TOSCANA F2 SDL
09547UT,FRAGARIA X ANA TOSCANA F2 SDL
40008RND,FRAGARIA X ANA TRISTAN
086091,FRAGARIA X ANANASSA TOSCANA
005175,FRAXINUS AMER AUTUMN APPLAUSE
037353P,FRAXINUS PENN LANCEOLATA
03745TP,FRAXINUS UHDEI
03745TPL,FRAXINUS UHDEI
049185,FUCHSIA BORDER QUEEN
092953,FUCHSIA DAVID
081762,FUCHSIA DEBRON'S FNNY VALNTINE
081761,FUCHSIA DEBRON'S FNNY VALNTINE
081772,FUCHSIA DEBRON'S JOAN LOU
081771,FUCHSIA DEBRON'S JOAN LOU
081752,FUCHSIA DEBRON'S SNOW FAIRY
092965,FUCHSIA DELTA'S PARADE
03760P40,FUCHSIA DOUBLE OTTO
03760RP,FUCHSIA DOUBLE OTTO
037601,FUCHSIA DOUBLE OTTO
049295,FUCHSIA ESTELLE MARIE
092975,FUCHSIA FLASH
049275,FUCHSIA LADY THUMB
092983,FUCHSIA MAGEL ALBA
092993,FUCHSIA MAGEL GRANDMA'S
049305,FUCHSIA ORANGE CRUSH
049285,FUCHSIA TOM THUMB
093005,FUCHSIA YOLANDA FRANK
05629P72,FURCRAEA FOETIDA MEDIOPICTA
402901,GAIL GALLO R DRK BICLR P20718
402902,GAIL GALLO R DRK BICLR P20718
402902LR,GAIL GALLO R DRK BICLR P20718
402881,GAILLARDIA ARIZONA APRICOT
402882,GAILLARDIA ARIZONA APRICOT
402882LR,GAILLARDIA ARIZONA APRICOT
035712LR,GAILLARDIA ARIZONA SUN
402891,GAILLARDIA FNCY WHEELER P22016
408801,GAILLARDIA SUNSET SNAPPY PPAF
091339,GARDENIA AUGUSTA 05-03
097912S,GARDENIA PINWHEEL R PP22510
08075RP,GARDENIA SUMMER SNOW R PPAF
080751,GARDENIA SUMMER SNOW R PPAF
080752,GARDENIA SUMMER SNOW R PPAF
080755,GARDENIA SUMMER SNOW R PPAF
03784SD,GARDENIA THUNBERGIA
03784TP,GARDENIA THUNBERGIA
03784TPL,GARDENIA THUNBERGIA
037845,GARDENIA THUNBERGIA
411531,GARVINEA ORANGINA R
410441,GARVINEA SOPHIE R
410471,GARVINEA SWEET DREAMS R
410451,GARVINEA SWEET GLOW R
410461,GARVINEA SWEET HONEY R
037781,GAULTHERIA PRO VERY BERRY
037783P,GAULTHERIA PRO VERY BERRY
086711,GAURA L PINK LADY PP17494
402923,GENISTA LYDIA BANGLE TM
402923LR,GENISTA LYDIA BANGLE TM
402922,GENISTA LYDIA BANGLE TM
03821P40,GENISTA PIL VANCOUVER GOLD
038211,GENISTA PIL VANCOUVER GOLD
038212,GENISTA PIL VANCOUVER GOLD
03827P40,GENISTA TIN ROYAL GOLD
03258PS,GENTIANA SINO-ORNATA
402931,GERANIUM BIOKOVO KARMINA
03818P40,GERANIUM JANETTE TM PPAF
093011,GERANIUM NEW DIMENSION PP15941
40155UT,GERANIUM PERFECT STORM
402941,GERANIUM PRAT DARK REITER
04143UT,GERANIUM PRAT MIDNIGHT REITER
402951,GERANIUM SANG ALPENGLOW
093021,GERANIUM X OXO PEARL BOLAND
035471S,GERANIUM X RIV MAVIS SIMPSON
032101S,GERANIUM X TANJA RANDELL PAF
021262,GEUM X MRS. BRADSHAW
402977,GINKGO BIL PRINCETON SENTRY R
402977LR,GINKGO BIL PRINCETON SENTRY R
03410TP,GINKGO BIL VARIEGATA
034105,GINKGO BIL VARIEGATA
03830TP,GINKGO BILOBA SEEDLING
038303P,GINKGO BILOBA SEEDLING
038303TPSA,GINKGO BILOBA SEEDLING
089263,GR-CAL ACUT ELDORADA PP16486
051492,GR-CAREX COMANS
05603RP,GR-CAREX COMANS (BRONZE)
02135RP,GR-CAREX PENDULA
021351S,GR-CAREX PENDULA
051991,GR-CAREX SECTA
401721S,GR-CAREX SIDER BANANA BOAT
089271,GR-CYMBOPOGON CITRATUS
08927RND,GR-CYMBOPOGON CITRATUS
077615,GR-CYPERUS PAP KING TUT TM
407673,GR-DESCHAMPSIA CAE PIXIE FNTN
005373,GR-DESCHAMPSIA CAESPITOSA
005373LR,GR-DESCHAMPSIA CAESPITOSA
089282,GR-DESCHAMPSIA SCHOTTLAND
08928RP,GR-DESCHAMPSIA SCHOTTLAND
089284P,GR-DESCHAMPSIA SCHOTTLAND
08505RP,GR-ELYMUS CAN PRINCE USE 07762
03200RP,GR-EQUISETUM HYEMALE AFFINE
092031,GR-ERAGROSTIS ELLI WIND DANCER
092035,GR-ERAGROSTIS ELLI WIND DANCER
03670P72,GR-FESTUCA OVINA GLAUCA
036703P,GR-FESTUCA OVINA GLAUCA
089291,GR-HAKONECHLOA FUBUKI PP21757
089291SLR,GR-HAKONECHLOA FUBUKI PP21757
089301,GR-JUNCUS EF BIG TWISTER
